Person.id|Post.id|creationDate
2199023256077|481036337193|1315875840756
24189255811254|755914244149|1333632915915
24189255811254|755914244152|1333700492711
2199023256077|481036337268|1301760862039
24189255811254|481036337268|1327126511541
24189255811254|481036337280|1327283681238
10995116278291|343597383821|1322643701847
10995116278291|343597383824|1323083474087
10995116278291|137438953630|1307372150885
2199023256077|206158430383|1293577371026
2199023256077|206158430395|1293872623708
10995116278291|206158430395|1302554116789
24189255811254|206158430395|1338585295055
10995116278291|481036337347|1312332006535
24189255811254|481036337347|1336503233282
2199023256077|687194767581|1333047856332
10995116278291|687194767581|1326081938164
2199023256077|687194767598|1325198545170
10995116278291|687194767598|1327103823558
24189255811254|687194767598|1333028219293
10995116278291|687194767599|1327048213012
2199023256077|687194767607|1325415468079
10995116278291|687194767607|1326803480539
24189255811254|687194767607|1332920936488
2199023256077|687194767608|1325121362822
10995116278291|687194767608|1327248099035
24189255811254|687194767608|1333098483065
10995116278291|206158430487|1320210200031
2199023256077|206158430488|1326682755529
10995116278291|206158430488|1319937768217
24189255811254|206158430488|1341086113136
2199023256077|755914244428|1327070206948
10995116278291|755914244428|1339756572096
24189255811254|755914244428|1340635810709
24189255811254|343597384018|1345816869709
24189255811254|343597384024|1345633821440
10995116278291|824633721185|1347444242455
24189255811254|824633721185|1331539752252
24189255811254|962072674668|1346562922871
24189255811254|962072674677|1346798520019
24189255811254|962072674680|1346565100958
2199023257206|274877907457|1288856020306
4398046512201|274877907457|1288921258889
6597069768211|274877907457|1288830523031
8796093022467|274877907457|1288944933000
19791209300326|274877907457|1312840914144
19791209300608|274877907457|1313057772623
19791209300787|274877907457|1316929398914
19791209301454|274877907457|1312158415503
24189255812580|274877907457|1322622512248
26388279066664|274877907457|1328862625900
26388279067534|274877907457|1326701298180
32985348833653|274877907457|1345174702383
17592186045693|274877907529|1343660472836
26388279067534|274877907542|1338510387526
1274|481036337752|1336640265313
1490|481036337752|1306037858759
15393162789274|481036337752|1309848269395
17592186044425|481036337752|1342513558254
17592186045693|481036337752|1343105569502
26388279067534|481036337752|1329262097573
15393162789274|412316861035|1326033119340
1274|412316861046|1307131766427
1490|412316861046|1324403476946
15393162789274|412316861046|1326018415472
15393162790400|412316861046|1314921461009
17592186044425|412316861046|1322984653250
17592186045693|412316861046|1339762648623
17592186044425|755914244750|1342776794081
26388279067534|755914244750|1339623202785
1274|274877907616|1336610771202
1490|274877907616|1326730411110
2199023256437|274877907616|1309489373890
15393162789274|274877907616|1324180600710
15393162790400|274877907616|1346027581601
28587302322537|274877907616|1336851239136
15393162790400|274877907628|1346080559501
2199023256437|274877907648|1294791838200
17592186044425|962072675032|1343318432937
15393162789274|962072675036|1342560997963
17592186044425|962072675036|1341544459530
15393162789274|962072675052|1342340926128
17592186044425|962072675052|1341664388267
15393162789274|962072675053|1342279792162
17592186044425|962072675053|1341823358728
1490|549755814644|1312187728800
2199023256437|549755814644|1317026220782
26388279067534|549755814644|1345626514592
1490|343597384457|1299154061391
2199023256437|343597384457|1299808563362
15393162789274|343597384457|1328912609874
15393162790400|343597384457|1316223877842
17592186045693|343597384457|1327809666148
26388279067534|343597384457|1334434733715
28587302322537|343597384457|1343090605515
1490|618475291414|1310656252040
2199023256437|618475291414|1339216009553
15393162790400|618475291414|1314757037113
1274|274877907757|1316383904112
1490|274877907757|1332751144183
2199023256437|274877907757|1303194031341
17592186044425|274877907757|1324985266412
17592186045693|274877907757|1322087027865
26388279067534|274877907757|1347406284333
1490|755914244919|1327587411638
15393162790400|755914244919|1337471807365
17592186044425|755914244919|1345368753025
17592186044425|343597384525|1317237413392
2199023256437|274877907859|1294946589431
19791209300852|1030792151992|1347461229482
19791209300852|412316861386|1343662848242
19791209300852|962072675275|1341117213675
19791209300852|962072675423|1345156547779
19791209300852|962072675440|1345097643320
19791209300852|343597384835|1326568119365
459|893353198754|1343945694885
24189255811566|618475291820|1342072222907
21990232556528|618475291822|1337282628959
4398046512267|618475291829|1345050595430
459|824633722048|1347388934792
4398046511596|824633722048|1341050225763
19791209301252|824633722048|1339499780942
4398046511667|962072675522|1342071360518
4398046511667|962072675531|1342087174424
4398046511596|755914245341|1337974255101
19791209301252|755914245341|1333279084065
21990232556528|755914245341|1335406569093
4398046511596|824633722106|1342451479626
4398046512267|755914245384|1334992297095
21990232556528|755914245384|1340895855235
459|618475291924|1317360343126
459|618475291926|1317272457157
4398046511667|962072675621|1346289141725
4398046511667|962072675625|1346669338296
4398046512267|962072675625|1345817638054
24189255811566|962072675625|1338449273628
459|755914245424|1342510103005
459|755914245429|1342541132895
4398046511596|755914245429|1326873814914
459|755914245430|1342608255555
4398046511596|755914245430|1326865152490
4398046512267|755914245430|1341082831200
21990232556528|755914245430|1321553347762
4398046511596|687194768715|1347033569864
4398046511667|687194768716|1322682492255
987|824633722206|1336028739781
15393162789093|824633722206|1332250515362
26388279067669|824633722206|1334268133016
987|962072675729|1343543725754
987|755914245530|1331780049117
8796093023000|962072675863|1340353625189
998|755914245751|1343958753594
609|962072675985|1342792137316
1269|962072675985|1339406784311
15393162789093|962072675985|1345796639447
15393162790014|962072675985|1342470155051
17592186044897|962072675985|1346418624479
17592186045382|962072675985|1342635381734
24189255812426|962072675985|1339653045068
24189255812580|962072675985|1347384198440
15393162789174|824633722514|1343525298759
15393162789093|962072675997|1338382748936
15393162789174|962072675997|1340256106943
17592186045382|962072675997|1342593816293
24189255812426|962072675997|1338464421481
24189255812733|962072676058|1341538050566
1269|962072676060|1344525415316
6597069767242|549755815750|1308820629231
976|412316862297|1294875920348
1269|412316862297|1294929860690
