Person.id|Comment.id|creationDate
2199023256077|1030792151057|1342815871582
2199023256077|1030792151060|1342859834052
10995116278291|1030792151060|1343166382715
24189255811254|1030792151060|1343068756139
2199023256437|206158430631|1283454180362
8796093022467|481036337631|1302841879508
4398046512201|618475291131|1311233092251
19791209300608|549755814421|1313000357150
19791209300787|549755814421|1316902757343
19791209301454|549755814421|1311935689270
24189255812580|549755814421|1322387025994
26388279066664|549755814421|1328731520836
26388279067534|549755814421|1326866533324
26388279067066|962072675848|1340591765499
10995116279452|1030792152613|1344191972017
13194139534853|1030792152613|1344178128036
15393162789417|1030792152613|1344339549221
17592186044425|1030792152613|1344577632825
17592186044519|1030792152613|1344257298394
17592186045165|1030792152613|1344267808855
17592186045408|1030792152613|1344168619779
17592186045551|1030792152613|1344213025273
17592186045604|1030792152613|1344163737185
21990232556252|1030792152613|1344251557150
24189255812446|1030792152613|1344436455066
24189255812669|1030792152613|1344181640019
13194139533344|1030792152634|1344293423649
15393162789093|1030792152634|1344190848985
15393162789174|1030792152634|1344153545676
15393162790014|1030792152634|1344628415899
17592186044897|1030792152634|1344521352182
17592186045382|1030792152634|1344254247912
17592186046110|1030792152634|1344388944351
21990232556410|1030792152634|1344321753746
24189255812426|1030792152634|1344647894077
21990232556410|1030792152642|1344448638727
609|1030792152653|1344315914961
998|1030792152653|1344201401071
1269|1030792152653|1344363829701
2199023256744|1030792152653|1344137465332
13194139533344|1030792152653|1344369243637
15393162789093|1030792152653|1344188366902
15393162789174|1030792152653|1344235345614
15393162790014|1030792152653|1344309401594
17592186044897|1030792152653|1344176834467
17592186045382|1030792152653|1344193687757
17592186046110|1030792152653|1344188332596
21990232556410|1030792152653|1344161009560
24189255812426|1030792152653|1344131929692
24189255812580|1030792152653|1344276116972
24189255812733|1030792152653|1344309504825
32985348834375|1030792152653|1344204613109
15393162790014|1030792152660|1344216990562
998|1030792152662|1344209099413
609|1030792152676|1344567219561
998|1030792152676|1344413769195
1269|1030792152676|1344345556937
2199023256744|1030792152676|1344168169872
13194139533344|1030792152676|1344384971888
15393162789093|1030792152676|1344253823736
15393162789174|1030792152676|1344181655267
15393162790014|1030792152676|1344411819506
17592186044897|1030792152676|1344647296465
17592186045382|1030792152676|1344262679002
17592186046110|1030792152676|1344667677932
21990232556410|1030792152676|1344478464988
24189255812426|1030792152676|1344435662598
24189255812580|1030792152676|1344489876564
24189255812733|1030792152676|1344265997345
32985348834375|1030792152676|1344216887350
976|412316862204|1298468119798
1269|412316862204|1298875483410
6597069767242|412316862204|1298557985263
10995116278234|412316862204|1298830509395
10995116278353|412316862204|1298389754071
13194139533535|412316862204|1298544297394
13194139533653|412316862204|1298683171476
15393162789604|412316862204|1304210762193
17592186044551|412316862204|1308516946963
17592186045074|412316862204|1308415084373
17592186045865|412316862204|1307347999119
19791209300771|412316862204|1313757911373
21990232555611|412316862204|1321182978805
21990232556528|412316862204|1319176244546
21990232556650|412316862204|1321230641048
30786325578932|412316862204|1340156041015
30786325579247|412316862204|1339446866409
32985348833378|412316862204|1346837197558
32985348833438|412316862204|1343412094205
976|618475292469|1311845936161
1269|618475292469|1312014745122
6597069767242|618475292469|1312156057650
10995116278234|618475292469|1312130836066
10995116278353|618475292469|1311998368497
13194139533535|618475292469|1311897612140
13194139533653|618475292469|1311786746535
15393162789604|618475292469|1311973172883
17592186044551|618475292469|1311925344910
17592186045074|618475292469|1311994617093
17592186045865|618475292469|1311772480851
19791209300771|618475292469|1314095687816
21990232555611|618475292469|1321211757334
21990232556528|618475292469|1318980435856
21990232556650|618475292469|1321275839984
30786325578932|618475292469|1340389532907
30786325579247|618475292469|1339291738945
32985348833378|618475292469|1346967977213
32985348833438|618475292469|1343463007072
976|549755815755|1308536406189
1269|549755815755|1308559150631
6597069767242|549755815755|1308950555971
10995116278234|549755815755|1308751398270
10995116278353|549755815755|1308593494127
13194139533535|549755815755|1308573939463
13194139533653|549755815755|1308693758399
15393162789604|549755815755|1308551714337
17592186044551|549755815755|1308581573288
17592186045074|549755815755|1308630202980
17592186045865|549755815755|1308606775330
19791209300771|549755815755|1314094953951
21990232555611|549755815755|1321349128496
21990232556528|549755815755|1318995850575
21990232556650|549755815755|1321481616677
30786325578932|549755815755|1339985873550
30786325579247|549755815755|1339570957784
32985348833378|549755815755|1346877988034
32985348833438|549755815755|1343583123097
32985348833378|618475292522|1346808395787
976|274877908929|1286407052054
1269|274877908929|1286286667482
6597069767242|274877908929|1286522683354
10995116278234|274877908929|1291776074244
10995116278353|274877908929|1292869463539
13194139533535|274877908929|1296908128972
13194139533653|274877908929|1297143427632
15393162789604|274877908929|1304035782980
17592186044551|274877908929|1308322068901
17592186045074|274877908929|1308517337449
17592186045865|274877908929|1307343611373
19791209300771|274877908929|1313963927176
21990232555611|274877908929|1321188621504
21990232556528|274877908929|1318999796603
21990232556650|274877908929|1321219036013
30786325578932|274877908929|1340219289026
30786325579247|274877908929|1339517894967
32985348833378|274877908929|1346765390861
32985348833438|274877908929|1343443797081
13194139533653|68719478733|1297032616897
976|68719478756|1273361582870
2199023256668|343597385772|1290147070734
6597069768211|343597385772|1289845410831
8796093023017|343597385772|1289710218800
8796093023851|343597385772|1290142593025
15393162789093|343597385772|1305052854405
21990232555524|343597385772|1318556396915
30786325578056|343597385772|1341182283516
32985348833548|343597385772|1346007762274
32985348833995|343597385772|1346176510533
8796093023851|481036339257|1301091811166
32985348833995|755914246215|1346453480564
1131|481036339359|1301716948764
4398046512267|481036339360|1301677203919
6597069766846|481036339360|1301418942148
6597069766850|481036339360|1301820099943
6597069767067|481036339360|1301490797315
6597069767242|481036339360|1301430307443
6597069767572|481036339360|1301758078610
8796093023133|481036339360|1301425047779
8796093023897|481036339360|1301545628774
13194139534578|481036339360|1301549225136
13194139534853|481036339360|1301833932243
13194139534982|481036339360|1301587573779
15393162789787|481036339360|1304433934525
17592186045168|481036339360|1308459513408
19791209301454|824633723112|1326925722292
1131|549755816188|1307622355906
1050|343597386133|1291377738123
17592186045551|343597386141|1308854519128
19791209301454|343597386141|1313167163046
19791209301471|343597386141|1315390248836
8796093023897|343597386165|1291398424944
15393162789787|343597386174|1304566826859
17592186045168|343597386174|1308695848068
17592186045408|343597386174|1307891129705
17592186045551|343597386174|1308899267985
19791209301454|343597386174|1313507770235
19791209301471|343597386174|1315406181398
19791209301519|343597386174|1311821374934
19791209301554|343597386174|1313214184167
21990232555850|343597386174|1316989764065
21990232556497|343597386174|1317841743438
24189255811116|343597386174|1326182502243
24189255812295|343597386174|1325185245849
26388279067047|343597386174|1329200529772
26388279068113|343597386174|1331332105653
28587302322548|343597386174|1337749341616
28587302323193|343597386174|1336831660578
28587302323441|343597386174|1332303020063
28587302323855|343597386174|1335991238359
30786325578056|343597386174|1341514852586
