src_id,dst_id
32,84809
85,391519
94,420723
185,290903
185,390340
371,260159
795,408090
795,420990
995,233230
1357,140750
1535,176769
1554,162096
1891,155959
2032,302822
2032,426215
2191,93067
2191,186845
2191,305510
2349,145473
2349,245804
2461,289237
2461,328232
2499,365922
2604,158702
2604,309772
2604,412870
2789,31886
2862,76826
2889,354139
2889,445078
2981,413546
3035,169537
3135,168255
3184,352816
3189,276947
3276,31238
3276,427107
3302,428413
3335,184316
3335,311643
3385,226987
3385,364901
3385,421827
3536,155514
3536,191548
3559,261832
3571,67801
3833,115533
3905,148330
3905,211116
3905,447371
3938,189703
4007,230015
4196,159699
4196,393333
4196,400591
4210,161072
4210,358573
4210,393613
4210,419758
4210,622999
4277,106927
4277,239202
4322,213260
4322,440127
4344,525241
4389,501321
4427,439051
4480,299316
4510,212008
4539,99073
4556,20815
4556,241590
4556,274059
4557,404820
4574,149262
4652,101359
4693,397578
4703,444864
4779,45623
4787,387983
4797,272277
4867,289224
4890,361366
4890,392148
4979,192579
4979,418316
4992,354087
5028,126816
5071,109486
5071,239330
5071,276450
5071,366565
5071,425244
5071,541805
5121,361366
5174,405149
5219,84968
5307,108611
5307,200306
5334,144188
5415,137887
5415,322592
5417,117122
5525,229061
5609,420999
5661,76609
5879,328500
5915,75455
5946,311076
5954,451539
5978,404024
5978,417434
5980,226947
6028,373354
6033,431949
6035,172964
6194,356960
6236,369113
6312,10749
6333,33962
6333,48992
6333,122846
6333,352811
6333,385042
6407,310635
6407,331855
6485,362524
6730,70583
6786,252163
6786,369034
6826,313534
6858,395594
6858,450348
6886,353543
6971,389858
7037,246044
7037,258054
7050,121183
7306,331849
7381,345442
7485,438775
7496,311173
7583,119074
7711,428818
7775,281333
7881,180224
7908,11730
8000,538497
8183,393034
8247,236104
8284,351640
8284,364201
8399,70360
8443,49379
8453,15284
8453,50617
8453,121594
8453,138078
8453,442638
8481,202370
8481,295438
8532,101511
8532,165252
8716,169594
8730,182191
8743,88308
8743,324222
8860,467821
8940,129931
8940,254408
8975,57268
