personId|maxDate
INTEGER|INTEGER
933|1313562419962
1129|1342814817357
4194|1280572448936
8333|1290437763233
8698|1324045149430
8853|1304778140179
10027|1318964377445
11122|1331668534524
14876|1281687240171
20415|1321897512510
20723|1336554333393
21582|1320161154148
25675|1335142441291
27019|1321965838087
27127|1287129235842
27625|1290262013944
30277|1304179301429
31411|1294232745321
31999|1324804612944
34318|1341243075124
36675|1290051176328
37217|1289305179668
38098|1289305179668
40004|1317198604982
40105|1307649165831
40722|1335598127227
41758|1289305179668
43518|1346636575647
43671|1308114628191
45220|1313198141693
45754|1337605857656
46172|1301669914077
46980|1282738606104
50585|1280617213923
51239|1311692126943
53286|1298331510281
53433|1321404889224
54488|1329766372431
57880|1299572284066
66294|1295702511235
67663|1313550621571
2199023256684|1297978807000
2199023261211|1282423975842
2199023262818|1304775282334
2199023262994|1282970796312
2199023266220|1310558802734
2199023268616|1339404595393
2199023275316|1333954758789
2199023275685|1329229057317
2199023278977|1289376004417
2199023279387|1290437763233
