personId|firstName
INTEGER|VARCHAR
933|Rahul
1129|Ashok
4194|Amit
8333|Amit
8698|Amit
8853|Vinod
10027|K.
11122|K.
14876|K.
20415|K.
20723|Amit
21582|K.
25675|Arun
27019|Amit
27127|Arun
27625|Ashok
30277|K.
31411|Amit
31999|John
34318|Ashok
36675|John
37217|Amit
38098|Arun
40004|Ashok
40105|K.
40722|Shweta
41758|K.
43518|Arun
43671|Sanjay
45220|Amit
45754|Sanjay
46172|K.
46980|Abhishek
50585|Shweta
51239|Ashok
53286|Arun
53433|K.
54488|Arun
57880|Ashok
66294|K.
67663|K.
2199023256684|Amit
2199023261211|Arun
2199023262818|Arjun
2199023262994|Amit
2199023266220|Arvind
2199023268616|John
2199023275316|Abhishek
2199023275685|Amit
2199023278977|John
2199023279387|K.
