personId|startDate|durationDays|countryXName|countryYName
INTEGER|INTEGER|INTEGER|VARCHAR|VARCHAR
933|1306779977723|32|India|Romania
1129|1293546203718|86|China|Germany
4194|1310884019961|63|Pakistan|Pakistan
8333|1294064603718|74|China|Germany
8698|1303497514452|43|India|Senegal
8853|1315689275979|33|Germany|Pakistan
10027|1301769514452|82|India|Senegal
11122|1316477860919|44|Vietnam|Pakistan
14876|1302201514452|73|India|Senegal
20415|1276062044037|90|Iran|Germany
20723|1311316019961|52|Pakistan|Pakistan
21582|1306162769942|59|Vietnam|Germany
25675|1336953632976|52|United_States|Germany
27127|1311229619961|55|Pakistan|Pakistan
27625|1311736221570|42|Senegal|Senegal
30277|1307567023434|21|Indonesia|Senegal
31411|1296224603718|24|China|Germany
31999|1318294960917|61|Mexico|Mexico
34318|1344421014920|25|China|Romania
36675|1294720548423|71|China|Senegal
37217|1338149796526|21|Japan|Senegal
38098|1296224603718|25|China|Germany
40004|1341696171283|24|Germany|Germany
40105|1294496603718|65|China|Germany
40722|1304275114452|24|India|Senegal
41758|1293459803718|88|China|Germany
43518|1315700260919|62|Vietnam|Pakistan
43671|1338844971283|90|Germany|Germany
45220|1301683114452|85|India|Senegal
45754|1303151914452|50|India|Senegal
46172|1295360603718|45|China|Germany
46980|1296448548423|31|China|Senegal
50585|1338299081349|68|Pakistan|Senegal
51239|1336940196526|48|Japan|Senegal
53286|1341264171283|35|Germany|Germany
53433|1303720201304|58|Brazil|Senegal
54488|1324841140982|72|India|India
57880|1305147823434|77|Indonesia|Senegal
66294|1336192801607|24|India|Hungary
67663|1309933619961|85|Pakistan|Pakistan
2199023256684|1303843114452|35|India|Senegal
2199023261211|1295619803718|38|China|Germany
2199023262818|1281039214704|52|India|Canada
2199023262994|1317169060919|28|Vietnam|Pakistan
2199023266220|1289005558367|43|China|Philippines
2199023268616|1315873060919|59|Vietnam|Pakistan
2199023275316|1314490660919|90|Vietnam|Pakistan
2199023275685|1306186152783|47|Mexico|Senegal
2199023278977|1336853796526|50|Japan|Senegal
2199023279387|1334089559046|64|Brazil|Pakistan
