personId|minDate
INTEGER|INTEGER
933|1336465236585
1129|1329060996062
4194|1336465236585
8333|1329111138820
8698|1343421977501
8853|1332563608918
10027|1343421977501
11122|1336465236585
14876|1332563608918
20415|1343421977501
20723|1343421977501
21582|1332563608918
25675|1332563608918
27019|1343421977501
27127|1332563608918
27625|1332563608918
30277|1344713458370
31411|1332563608918
31999|1343421977501
34318|1332563608918
36675|1325696184034
37217|1343421977501
38098|1332563608918
40004|1344713458370
40105|1343421977501
40722|1332563608918
41758|1343421977501
43518|1341514877280
43671|1329060996062
45220|1332563608918
45754|1319244281733
46172|1342107101435
46980|1329111138820
50585|1332563608918
51239|1340071080469
53286|1325696184034
53433|1329111138820
54488|1337330878056
57880|1329060996062
66294|1338368742403
67663|1332563608918
2199023256684|1331589801087
2199023261211|1316500058704
2199023262818|1322514766111
2199023262994|1343421977501
2199023266220|1329111138820
2199023268616|1325696184034
2199023275316|1344713458370
2199023275685|1332563608918
2199023278977|1329111138820
2199023279387|1325696184034
