personId|maxDate
INTEGER|INTEGER
933|1342774545374
1129|1342732971284
4194|1313550621571
8333|1342732971284
8698|1313550621571
8853|1313562419962
10027|1313550621571
11122|1313562419962
14876|1313550621571
20415|1342732971284
20723|1313562419962
21582|1342732971284
25675|1331582401671
27019|1342732971284
27127|1342732971284
27625|1313550621571
30277|1342774545374
31411|1283171294480
31999|1328028107531
34318|1342811242320
36675|1313550621571
37217|1313550621571
38098|1342732971284
40004|1342732971284
40105|1342732971284
40722|1313550621571
41758|1342732971284
43518|1313562419962
43671|1342732971284
45220|1313550621571
45754|1313550621571
46172|1342732971284
46980|1313550621571
50585|1342732971284
51239|1313550621571
53286|1342732971284
53433|1313550621571
54488|1273023630948
57880|1342732971284
66294|1342796895829
67663|1313562419962
2199023256684|1313550621571
2199023261211|1342732971284
2199023262818|1288527403725
2199023262994|1313562419962
2199023266220|1280617213923
2199023268616|1313562419962
2199023275316|1313562419962
2199023275685|1313550621571
2199023278977|1313550621571
2199023279387|1313562419962
