startDate|endDate
INTEGER|INTEGER
1315890229929|1316063029929
1296191961982|1296364761982
1339663335441|1339836135441
1288822601161|1288995401161
1285380031309|1285552831309
1294608453604|1294781253604
1293243375121|1293416175121
1312796330417|1312969130417
1265589876517|1265762676517
1296073499086|1296246299086
1332929366446|1333102166446
1279523796073|1279696596073
1281150739488|1281323539488
1299546302608|1299719102608
1296760249172|1296933049172
1333664672724|1333837472724
1278290676199|1278463476199
1346532573379|1346705373379
1288838401894|1289011201894
1282364060282|1282536860282
1327832297145|1328005097145
1280764258594|1280937058594
1303336732755|1303509532755
1336788598409|1336961398409
1335707188252|1335879988252
1315211304319|1315384104319
1343743614544|1343916414544
1279425623514|1279598423514
1303149830217|1303322630217
1317951285550|1318124085550
1335237389095|1335410189095
1347204944958|1347377744958
1279959456936|1280132256936
1268719638586|1268892438586
1330761469562|1330934269562
1301737755100|1301910555100
1323804205841|1323977005841
1319787321537|1319960121537
1332567088364|1332739888364
1302370533510|1302543333510
1291888679071|1292061479071
1274469937804|1274642737804
1277786285025|1277959085025
1292945577801|1293118377801
1342469212453|1342642012453
1331428574010|1331601374010
1335766114090|1335938914090
1289144575197|1289317375197
1280620469018|1280793269018
1279423478619|1279596278619
1280232947721|1280405747721
