personId|minDate
INTEGER|INTEGER
933|1332260743841
1129|1339406370071
4194|1328038660628
8333|1306211413243
8698|1337615635225
8853|1316721597771
10027|1315969056585
11122|1342143046488
14876|1319232261017
20415|1340919369280
20723|1336480143781
21582|1319305961774
25675|1291869473485
27019|1339669712827
27127|1333213670493
27625|1321042281867
30277|1344713458370
31411|1344375797907
31999|1339669712827
34318|1321384822119
36675|1324396803161
37217|1319244281733
38098|1319244281733
40004|1320425465370
40105|1341769401406
40722|1339721027923
41758|1343421977501
43518|1332403742942
43671|1341948343162
45220|1344652426256
45754|1339964523921
46172|1344539640534
46980|1316721597771
50585|1327753286491
51239|1320430100838
53286|1324660144827
53433|1317793408328
54488|1336885680599
57880|1333281763975
66294|1344238348075
67663|1331616628798
2199023256684|1306128074830
2199023261211|1327753286491
2199023262818|1341948343162
2199023262994|1329137176214
2199023266220|1334817703473
2199023268616|1337451005275
2199023275316|1344713458370
2199023275685|1339060797220
2199023278977|1330950817586
2199023279387|1322867736210
