personId|startDate|durationDays
INTEGER|INTEGER|INTEGER
1129|1340280109250|64
4194|1315455992036|60
8333|1341684842975|38
8698|1314346446891|58
8853|1345393975744|49
10027|1316760068791|72
11122|1333130379578|87
14876|1344901575562|27
20415|1341289450826|61
20723|1341877609001|40
21582|1345921610813|35
25675|1343166136768|61
27019|1336606411938|26
27127|1340166250826|87
27625|1340504960637|71
30277|1341750855416|34
31411|1315813697036|53
31999|1317388395223|24
34318|1337129664362|86
36675|1344771548989|29
37217|1314446102036|85
38098|1325449591191|42
40004|1345365652865|27
40105|1341375080564|80
40722|1340481158312|55
41758|1346026379218|21
43518|1343053658639|65
43671|1315588067036|56
45220|1300399307176|45
45754|1342644523687|67
46172|1315439882036|61
46980|1335816959118|60
50585|1267972310151|60
51239|1336260537291|82
53286|1288961885701|32
53433|1317206852036|20
54488|1323807991191|81
57880|1327765440594|84
66294|1332390650329|26
67663|1293866254723|30
77762|1314336392036|86
80676|1334719733145|24
84875|1316474297036|37
90149|1317106988955|38
90569|1330559827427|89
93444|1276090081333|24
94148|1344267413314|58
94682|1315844792036|53
94955|1321458364551|78
95197|1340693215136|25
97075|1329079453171|70
