personId|firstName
INTEGER|VARCHAR
1129|Meera
4194|John
8333|Meera
8698|Meera
8853|Meera
10027|Meera
11122|John
14876|Meera
20415|Meera
20723|Meera
21582|Meera
25675|John
27019|K.
27127|Meera
27625|Meera
30277|Meera
31411|K.
31999|K.
34318|Meera
36675|Meera
37217|John
38098|Meera
40004|Meera
40105|Meera
40722|Meera
41758|Meera
43518|Meera
43671|John
45220|Arun
45754|Meera
46172|Meera
46980|Meera
50585|K.
51239|Meera
53286|Meera
53433|Meera
54488|Meera
57880|Meera
66294|Meera
67663|Meera
77762|Meera
80676|Meera
84875|K.
90149|K.
90569|Meera
93444|K.
94148|Meera
94682|John
94955|K.
95197|Meera
97075|Meera
