personId|minDate
INTEGER|INTEGER
1129|1311000084097
4194|1315935631654
8333|1320745528078
8698|1314057215852
8853|1314558529926
10027|1300004216595
11122|1316621657720
14876|1341562509214
20415|1339231717787
20723|1343130548078
21582|1322465193806
25675|1322290620148
27019|1318696035652
27127|1329271259033
27625|1334963085436
30277|1324191061089
31411|1334917535138
31999|1333051087816
34318|1311512770977
36675|1318352679332
37217|1318393284403
38098|1337079088882
40004|1346669167753
40105|1305513533727
40722|1318696035652
41758|1328081871820
43518|1309394934252
43671|1331364831888
45220|1317392117400
45754|1323959830463
46172|1316352500701
46980|1339881262262
50585|1314459739097
51239|1312324525941
53286|1311594051865
53433|1312740687270
54488|1337727764525
57880|1343434516135
66294|1330368080291
67663|1317441992189
77762|1322160374991
80676|1322779832747
84875|1333260930000
90149|1335011192214
90569|1327249125432
93444|1329448923348
94148|1331443137923
94682|1343538537097
94955|1314558529926
95197|1308530126109
97075|1339462893949
