personId|startDate|durationDays|countryXName|countryYName
,INTEGER|INTEGER|INTEGER|VARCHAR|VARCHAR
1129|1337977794882|42|India|India
4194|1343441775869|54|India|India
8333|1281144043086|80|Estonia|India
8698|1341133037077|69|India|India
8853|1337220726287|46|India|India
11122|1294971833371|65|India|India
14876|1343130034119|33|India|India
20415|1336098305516|65|India|India
20723|1334746270301|45|India|India
21582|1326000202477|66|India|India
25675|1302408674592|31|India|India
27019|1339801140845|21|India|India
27625|1341651198244|70|India|India
31411|1312000370691|43|India|India
31999|1335086379962|85|India|India
34318|1329533946333|29|India|India
36675|1343679472584|40|India|India
37217|1335765799724|53|India|India
38098|1340972518982|74|India|India
40004|1335529393654|69|India|India
40722|1342277910604|47|India|India
43518|1337665886262|42|India|India
43671|1326442672598|59|India|India
45220|1342851740721|27|India|India
45754|1326117158147|67|India|India
46172|1330029423670|47|India|India
46980|1334625821819|20|India|India
50585|1332674696056|33|India|India
51239|1333037447527|45|India|India
53286|1305472012097|40|India|India
54488|1343046118982|27|India|India
57880|1304606981064|70|India|India
66294|1342653744695|46|India|India
77762|1318435189881|41|India|India
84875|1333206159100|83|India|India
90149|1276945263848|22|India|India
93444|1331243140276|83|India|India
94682|1336093258113|57|India|India
95197|1340018192856|43|India|India
97075|1336181876571|53|India|India
97350|1333365003948|62|India|India
98463|1335565473504|65|India|India
104210|1342826499823|34|India|India
105331|1338479308671|41|India|India
107713|1333502053492|76|India|India
111564|1336468671544|88|India|India
113406|1337098485594|61|India|India
115960|1329532987143|66|India|India
118228|1341045387742|57|India|India
121837|1334218164948|88|India|India
123373|1326262292682|82|India|India
