personId1|personId2|length
INTEGER|INTEGER|INTEGER
1129|26388279240452|83
4194|13194139613742|87
8333|24189255929846|87
8698|17592186133150|83
8853|4398046665654|82
10027|137208|73
11122|77647|80
14876|13194139707235|77
20415|30786325753132|83
20723|25340|83
21582|21990232695533|74
25675|4398046534296|80
27019|30786325676494|83
27127|2199023365219|84
27625|6597069845820|81
30277|13194139587125|87
31411|131285|86
31999|15393162945409|87
34318|26388279165506|79
36675|10995116450786|80
37217|21990232719917|74
38098|28587302474971|85
40004|32985348873545|88
40105|102222|78
40722|32985348874707|137
41758|30786325725993|171
43518|15393162941533|80
43671|26388279149740|85
45220|32985348952948|136
45754|26388279226039|84
46172|2199023365219|84
46980|19791209358490|81
50585|26388279086426|83
51239|26388279074356|87
53286|6597069883806|84
53433|26388279114478|80
54488|10995116414964|82
57880|13194139587125|87
66294|28587302333706|83
67663|32985348922278|137
77762|21990232663185|88
80676|17592186182623|83
84875|24189255857086|82
90149|69119|85
90569|8796093024242|88
93444|15393162925131|82
94148|21990232733743|83
94682|2199023435333|81
94955|132893|85
95197|28587302419954|83
97075|4398046612102|74
