personId|maxDate
INTEGER|INTEGER
1129|1342731083928
4194|1326288856843
8333|1288054814265
8698|1325677424989
8853|1330368205172
10027|1303569858159
11122|1323653157133
14876|1282155283917
20415|1287365651599
20723|1292008297164
21582|1288700876187
25675|1270938002781
27019|1338720664508
27127|1305356395151
27625|1286238548086
30277|1300923421420
31411|1276105581876
31999|1341063745561
34318|1269350537644
36675|1332481573645
37217|1332754601614
38098|1280331985810
40004|1282864668569
40105|1281234398367
40722|1287489807577
41758|1282831472693
43518|1281610366859
43671|1335644349410
45220|1325272513117
45754|1328636794428
46172|1296900179435
46980|1292311324918
50585|1329764690103
51239|1285124313751
53286|1340297471384
53433|1325367450684
54488|1306021005518
57880|1331083944312
66294|1307222552059
67663|1269719463042
77762|1333808321182
80676|1274904918266
84875|1305649556843
90149|1330386633706
90569|1277862469057
93444|1341274441832
94148|1279904904238
94682|1344114325610
94955|1330058238279
95197|1286685300285
97075|1340707772101
