personId|minDate
INTEGER|INTEGER
1129|1315711241731
4194|1328081871820
8333|1330665315444
8698|1327249125432
8853|1345585535440
10027|1322160374991
11122|1332513574731
14876|1345585535440
20415|1328081871820
20723|1327249125432
21582|1345585535440
25675|1344774416895
27019|1332712700730
27127|1332513574731
27625|1328081871820
30277|1341594607427
31411|1341200438066
31999|1326942305293
34318|1344774416895
36675|1330665315444
37217|1341016637431
38098|1328081871820
40004|1322160374991
40105|1324402500318
40722|1341016637431
41758|1328081871820
43518|1341016637431
43671|1328081871820
45220|1332513574731
45754|1327178791196
46172|1341016637431
46980|1332513574731
50585|1345585535440
51239|1341594607427
53286|1316621657720
53433|1327425030322
54488|1332513574731
57880|1344774416895
66294|1328163472743
67663|1332513574731
77762|1332712700730
80676|1327249125432
84875|1329448923348
90149|1317546025132
90569|1322160374991
93444|1328081871820
94148|1341594607427
94682|1330665315444
94955|1345585535440
95197|1341594607427
97075|1341594607427
