personId|startDate|durationDays|countryXName|countryYName
,INTEGER|INTEGER|INTEGER|VARCHAR|VARCHAR
1129|1341048947929|65|India|Poland
4194|1335064359931|31|Pakistan|Brazil
8333|1321299440350|68|Pakistan|Poland
8698|1283499563739|79|India|India
8853|1315962786361|41|China|Romania
10027|1337456592337|29|Indonesia|Mexico
11122|1273876858042|77|Vietnam|Poland
14876|1307815395042|66|India|Romania
20415|1316049186361|39|China|Romania
20723|1331346356598|80|Japan|Poland
21582|1279520008877|81|Russia|Poland
25675|1336868160999|24|United_States|Romania
27019|1314580386361|73|China|Romania
27127|1337374698352|47|Japan|Mexico
27625|1307815395042|67|India|Romania
30277|1315909000507|64|Mexico|Bosnia_and_Herzegovina
31411|1339363371283|79|Mexico|Mexico
31999|1336522560999|33|United_States|Romania
34318|1339684981281|73|China|China
36675|1339881771283|66|Mexico|Mexico
37217|1340703347929|72|India|Poland
38098|1309456995042|28|India|Romania
40004|1335901392337|64|Indonesia|Mexico
40105|1340203381281|61|China|China
40722|1307901795042|64|India|Romania
41758|1336593204124|87|Yemen|Mexico
43518|1276796098616|24|China|Poland
43671|1280927907308|46|Germany|Poland
45220|1320806845128|28|India|Bosnia_and_Herzegovina
45754|1307556195042|72|India|Romania
46172|1341350571283|32|Mexico|Mexico
46980|1338020899420|52|Ukraine|China
50585|1306706268068|54|Sri_Lanka|Poland
51239|1307728995042|69|India|Romania
53286|1312343933478|62|Germany|Japan
53433|1286700413620|81|Brazil|Romania
54488|1271894953388|70|India|Iran
57880|1289062590719|35|Indonesia|Poland
66294|1285573163739|30|India|India
67663|1338411498352|23|Japan|Mexico
77762|1302970698050|56|Netherlands|Russia
80676|1340227371283|58|Mexico|Mexico
84875|1311909021570|39|Poland|Poland
90149|1316049186361|39|China|Romania
90569|1338065898352|30|Japan|Mexico
93444|1284833876713|48|Romania|Poland
94148|1274549698616|77|China|Poland
94682|1340054571283|62|Mexico|Mexico
94955|1308679395042|46|India|Romania
95197|1337029098352|55|Japan|Mexico
97075|1340271347929|82|India|Poland
