personId|maxDate
INTEGER|INTEGER
1129|1313550621571
4194|1286900411417
8333|1342860368629
8698|1286869163740
8853|1342811242320
10027|1342732971284
11122|1313562419962
14876|1342811242320
20415|1342811242320
20723|1342737097851
21582|1342731083928
25675|1286918520679
27019|1342811242320
27127|1342732971284
27625|1342811242320
30277|1342813311335
31411|1327474723217
31999|1310973568206
34318|1342795381282
36675|1342732971284
37217|1313550621571
38098|1342811242320
40004|1342732971284
40105|1286918520679
40722|1342811242320
41758|1342732971284
43518|1313550621571
43671|1313550621571
45220|1342730057501
45754|1342811242320
46172|1342732971284
46980|1342795381282
50585|1317926156617
51239|1342776911097
53286|1317982273994
53433|1313562419962
54488|1293680432161
57880|1313550621571
66294|1286869163740
67663|1313562419962
77762|1326288856843
80676|1313562419962
84875|1313550621571
90149|1288398240661
90569|1342732971284
93444|1313550621571
94148|1313550621571
94682|1342732971284
94955|1342811242320
95197|1342732971284
97075|1313550621571
