personId1|personId2
INTEGER|INTEGER
1129|30786325725993
4194|2199023356654
8333|28587302437039
8698|19791209330295
8853|4398046678655
10027|4398046540286
11122|15393162819363
14876|6597069814035
20415|19791209330295
20723|10995116324886
21582|10995116353279
25675|10995116450786
27019|15393162933918
27127|19791209330295
27625|4398046693000
30277|19791209375831
31411|131285
31999|28587302360368
34318|4398046531818
36675|80676
37217|8796093139120
38098|26388279185584
40004|28587302366022
40105|166597
40722|15393162933918
41758|15393162960120
43518|94734
43671|28587302425838
45220|30786325667743
45754|21990232558653
46172|15393162837556
46980|30786325644421
50585|13194139546604
51239|24189255935141
53286|4398046584948
53433|26388279092189
54488|10995116377056
57880|6597069908296
66294|4398046639359
67663|6597069819707
77762|19791209473153
80676|36675
84875|26388279170643
90149|69119
90569|10995116370799
93444|13194139559567
94148|8796093140365
94682|19791209434512
94955|8796093130337
95197|6597069852331
97075|30786325584035
