startDate|endDate
INTEGER|INTEGER
1341175400140|1341348200140
1273373134697|1273545934697
1336622301855|1336795101855
1311632829645|1311805629645
1276504142598|1276676942598
1277071593093|1277244393093
1305624994581|1305797794581
1280923179910|1281095979910
1312333036514|1312505836514
1293920949104|1294093749104
1295541945234|1295714745234
1294162441300|1294335241300
1301191569768|1301364369768
1312525940444|1312698740444
1277296608080|1277469408080
1315492563892|1315665363892
1264454107060|1264626907060
1336107295600|1336280095600
1277743652607|1277916452607
1264435598706|1264608398706
1284578654339|1284751454339
1330002363714|1330175163714
1332544003159|1332716803159
1266368379403|1266541179403
1302451305041|1302624105041
1302082717144|1302255517144
1265325936280|1265498736280
1336930586729|1337103386729
1339018489517|1339191289517
1318398710380|1318571510380
1303856416370|1304029216370
1339986449781|1340159249781
1299270945200|1299443745200
1324948132318|1325120932318
1277508787639|1277681587639
1327794563771|1327967363771
1295824237180|1295997037180
1282179448553|1282352248553
1273402716526|1273575516526
1282449877862|1282622677862
1314776572180|1314949372180
1264435598706|1264608398706
1327248900909|1327421700909
1266197002996|1266369802996
1293646301047|1293819101047
1295284877773|1295457677773
1288943181782|1289115981782
1315670120896|1315842920896
1287488863700|1287661663700
1281996855232|1282169655232
1342308516946|1342481316946
