Forum.id|Tag.id
0|59
0|291
0|565
0|569
0|779
0|780
0|1178
0|1203
0|1444
0|1614
0|1764
0|1767
0|1936
0|1985
0|1989
0|2011
0|2016
0|2035
0|2036
0|2054
0|2057
0|2075
0|2097
0|2104
0|2120
0|2777
0|2778
0|2780
0|2783
0|2792
0|2801
0|2803
0|2811
0|2812
0|2828
0|2831
0|2847
0|2855
0|2932
0|2933
0|2941
0|2973
0|2975
0|3045
0|3047
0|3081
0|5142
0|5159
0|5163
0|5170
0|5467
0|5682
0|5875
0|6040
0|6144
0|6368
0|6532
0|6934
0|6962
0|7032
0|7335
0|7509
0|7545
0|7876
0|8942
0|9144
0|9146
0|9163
0|13818
0|13828
1030792151041|2780
412316860418|2016
962072674307|6144
343597383684|291
962072674309|7545
481036337159|2104
618475290632|2831
481036337161|2932
962072674314|6532
481036337163|5163
893353197580|569
206158430221|2097
343597383694|2075
481036337167|2054
549755813904|2097
687194767377|1764
343597383699|7876
481036337172|2801
824633720853|779
618475290646|2828
68719476759|2104
206158430232|6532
343597383705|59
137438953498|3047
549755813915|5163
824633720860|2828
893353197597|9163
481036337182|2097
755914244127|13818
1030792151072|13818
893353197601|1989
618475290658|2054
1030792151075|5142
206158430244|321
206158430244|1545
206158430244|1999
206158430244|2031
206158430244|2888
206158430244|2940
206158430244|5196
206158430244|7524
206158430244|9170
206158430244|10190
343597383717|138
343597383717|523
343597383717|581
343597383717|784
343597383717|1186
343597383717|1424
343597383717|1760
343597383717|1985
343597383717|1995
343597383717|1997
343597383717|2001
343597383717|2008
343597383717|2039
343597383717|2106
343597383717|2109
343597383717|2777
343597383717|2779
343597383717|2785
343597383717|2818
343597383717|2831
343597383717|2856
343597383717|2859
343597383717|2862
343597383717|2876
343597383717|2907
343597383717|2958
343597383717|2960
343597383717|2984
343597383717|3021
343597383717|3028
343597383717|3040
343597383717|3072
343597383717|3096
343597383717|4849
343597383717|5070
343597383717|5078
343597383717|5129
343597383717|5146
343597383717|6399
343597383717|6400
343597383717|6890
343597383717|6962
343597383717|6964
343597383717|7330
343597383717|7598
343597383717|8784
343597383717|9163
343597383717|10492
343597383717|10681
343597383717|11250
343597383717|11628
343597383717|11852
687194767398|205
687194767398|295
687194767398|543
687194767398|566
687194767398|1030
687194767398|1448
687194767398|1616
687194767398|1672
687194767398|1984
687194767398|2021
687194767398|2029
687194767398|2047
687194767398|2780
687194767398|2792
687194767398|2808
687194767398|2861
687194767398|2924
687194767398|2933
687194767398|6470
687194767398|6733
687194767398|7494
687194767398|9141
687194767398|11088
687194767398|11379
687194767398|15333
824633720871|1524
824633720871|2041
824633720871|14812
962072674344|14812
962072674345|1524
962072674346|1524
893353197611|1524
962072674350|1524
893353197616|14812
893353197618|265
893353197618|1908
893353197618|1953
893353197618|2081
893353197618|2779
893353197618|2841
893353197618|2860
893353197618|2900
893353197618|2907
893353197618|2990
893353197618|6984
893353197618|6989
893353197618|7604
893353197618|9144
893353197619|1908
1030792151093|265
1030792151095|7604
962072674361|9144
68719476803|1
68719476803|138
68719476803|148
68719476803|593
68719476803|784
68719476803|785
68719476803|807
68719476803|1201
68719476803|1444
68719476803|1454
68719476803|1615
68719476803|1667
68719476803|1668
68719476803|1681
68719476803|1863
68719476803|1985
68719476803|1988
68719476803|1989
68719476803|1990
68719476803|2000
68719476803|2011
68719476803|2027
68719476803|2040
68719476803|2066
68719476803|2777
68719476803|2778
68719476803|2785
68719476803|2786
68719476803|2787
68719476803|2788
68719476803|2796
68719476803|2804
68719476803|2807
68719476803|2811
68719476803|2842
68719476803|2853
68719476803|2865
68719476803|2869
68719476803|2918
68719476803|2935
68719476803|2939
68719476803|2942
68719476803|2956
68719476803|2982
68719476803|3001
68719476803|3011
68719476803|3056
68719476803|3061
68719476803|3065
68719476803|5063
68719476803|5132
68719476803|6131
68719476803|6369
68719476803|6383
68719476803|6409
68719476803|6412
68719476803|6674
68719476803|7015
68719476803|7089
68719476803|7148
68719476803|7486
68719476803|7517
68719476803|7520
68719476803|7538
68719476803|7547
68719476803|8401
68719476803|9188
68719476803|9261
68719476803|9866
68719476803|10449
68719476803|11407
68719476803|11537
68719476803|11577
68719476803|11667
68719476803|12723
137438953540|6
137438953540|205
137438953540|578
137438953540|594
137438953540|775
137438953540|781
137438953540|1173
137438953540|1177
137438953540|1180
137438953540|1185
137438953540|1186
137438953540|1615
137438953540|1758
137438953540|1995
137438953540|2067
137438953540|2838
137438953540|2925
137438953540|2960
137438953540|2991
137438953540|4847
137438953540|5062
137438953540|5132
137438953540|5191
137438953540|6413
137438953540|6938
137438953540|6945
137438953540|7380
137438953540|9174
137438953540|11375
137438953540|11379
137438953540|11408
137438953540|12002
206158430277|775
412316860486|594
1030792151111|2838
343597383752|2925
962072674378|1758
755914244171|6938
137438953548|1758
549755813965|11379
206158430287|5191
687194767440|775
824633720913|9174
893353197650|7380
962072674387|11375
1030792151124|1186
481036337237|12002
206158430294|5062
274877907031|1173
549755813976|5191
206158430297|2925
755914244186|1615
274877907035|781
893353197660|1995
137438953565|578
206158430302|11379
824633720927|11408
1030792151136|6938
206158430305|11375
893353197666|6938
618475290723|12002
962072674404|594
206158430309|279
206158430309|787
206158430309|1747
206158430309|2817
206158430309|2824
206158430309|2889
206158430309|2957
206158430309|3100
206158430309|6080
274877907046|558
274877907046|574
274877907046|11742
618475290727|280
618475290727|777
618475290727|1410
618475290727|2779
824633720936|6
893353197673|244
274877907050|1178
274877907050|1929
412316860523|776
412316860523|782
412316860523|1173
412316860523|1456
412316860523|2003
412316860523|2031
412316860523|2037
412316860523|2044
412316860523|2084
412316860523|2795
412316860523|2803
412316860523|2807
412316860523|2831
412316860523|2836
412316860523|2866
412316860523|2935
412316860523|2962
412316860523|2982
412316860523|3010
412316860523|3084
412316860523|5633
412316860523|6981
412316860523|7598
412316860523|9141
412316860523|9772
412316860523|12690
549755813996|275
549755813996|784
549755813996|1762
549755813996|1990
549755813996|2856
549755813996|11633
549755813996|11872
549755813997|8
549755813997|206
549755813997|569
549755813997|778
549755813997|1408
549755813997|1454
549755813997|1760
549755813997|1989
549755813997|2044
549755813997|2779
549755813997|2783
549755813997|2885
549755813997|3041
549755813997|5062
549755813997|5163
549755813997|6438
549755813997|7507
549755813997|11409
549755813997|12047
549755813997|12296
618475290734|1429
618475290734|5721
618475290734|6365
962072674415|5721
893353197680|5721
893353197681|6365
962072674419|5721
962072674420|1429
1030792151157|1429
962072674422|1429
962072674423|6365
893353197688|1429
1030792151164|5721
1030792151166|1429
893353197695|275
1030792151168|9
1030792151168|138
1030792151168|565
1030792151168|1032
1030792151168|1171
1030792151168|1194
1030792151168|1410
1030792151168|1669
1030792151168|1985
1030792151168|2778
1030792151168|2789
1030792151168|5156
1030792151168|5184
1030792151168|9326
1030792151169|9
1030792151171|138
206158430342|1398
206158430342|2903
206158430342|12444
274877907079|1183
274877907079|1462
274877907079|1764
274877907079|1984
274877907079|1993
274877907079|2004
274877907079|2087
274877907079|2804
274877907079|2810
274877907079|2858
274877907079|2876
274877907079|2915
274877907079|2957
274877907079|3024
274877907079|3050
274877907079|3096
274877907079|5546
274877907079|6491
274877907079|6991
274877907079|7031
274877907079|9141
274877907079|9143
274877907079|9310
274877907079|10558
274877907079|10997
962072674440|3050
687194767497|9141
343597383818|10558
481036337291|9141
893353197708|10997
893353197709|2804
824633720974|10558
343597383823|2087
1030792151184|2876
824633720977|3050
687194767506|3024
755914244243|3050
412316860564|2004
274877907093|9141
962072674454|2810
962072674455|2804
549755814040|1764
549755814042|3096
618475290779|1183
412316860573|2957
893353197726|1984
824633720991|7031
893353197728|5546
962072674465|2810
274877907108|139
274877907108|142
274877907108|278
274877907108|288
274877907108|458
274877907108|470
274877907108|545
274877907108|573
274877907108|794
274877907108|795
274877907108|809
274877907108|1192
274877907108|1546
274877907108|1611
274877907108|1683
274877907108|1758
274877907108|1984
274877907108|1987
274877907108|1989
274877907108|1994
274877907108|1996
274877907108|2014
274877907108|2056
274877907108|2057
274877907108|2777
274877907108|2778
274877907108|2779
274877907108|2783
274877907108|2790
274877907108|2793
274877907108|2805
274877907108|2809
274877907108|2817
274877907108|2827
274877907108|2835
274877907108|2838
274877907108|2851
274877907108|2878
274877907108|2887
274877907108|2917
274877907108|2943
274877907108|2976
274877907108|2989
274877907108|3036
274877907108|3060
274877907108|5055
274877907108|5061
274877907108|5132
274877907108|5141
274877907108|5147
274877907108|5184
274877907108|5483
274877907108|5740
274877907108|6999
274877907108|7603
274877907108|8283
274877907108|8530
274877907108|9144
274877907108|9195
274877907108|10222
274877907108|10702
274877907108|12622
274877907108|13815
481036337317|8283
893353197734|6999
893353197735|2878
755914244264|5147
962072674473|6999
343597383850|5132
755914244267|2917
755914244268|9144
687194767535|2878
343597383857|1996
1030792151218|809
824633721011|2887
962072674484|1546
687194767541|470
824633721014|2887
343597383863|2917
755914244280|9144
1099511627961|5184
1030792151226|8530
687194767547|3036
1030792151229|1984
618475290814|1994
549755814079|278
274877907136|1525
274877907136|2029
274877907136|2105
274877907136|2798
274877907136|2888
274877907136|2993
274877907136|6400
274877907136|7014
274877907136|7524
274877907136|12746
274877907137|283
274877907137|470
274877907137|545
274877907137|571
274877907137|585
274877907137|782
274877907137|795
274877907137|812
274877907137|976
274877907137|1667
274877907137|1891
274877907137|1998
274877907137|2058
274877907137|2063
274877907137|2065
274877907137|2069
274877907137|2777
274877907137|2786
274877907137|2787
274877907137|2797
274877907137|2799
274877907137|2811
274877907137|2817
274877907137|2818
274877907137|2841
274877907137|2842
274877907137|2850
274877907137|2855
274877907137|2867
274877907137|2874
274877907137|2888
274877907137|2914
274877907137|2921
