Person.id|Place.id
933|1353
6597069767117|1227
10995116278700|879
21990232556027|968
26388279066636|1073
28587302322727|876
2199023256181|139
4398046511870|441
6597069766983|1247
8796093023060|1187
19791209300372|598
26388279067350|400
28587302322873|516
8796093023143|1377
13194139533850|993
17592186044504|314
17592186044810|1014
19791209300058|934
28587302322741|568
32985348833558|617
6597069766961|1262
8796093022367|1343
8796093022641|921
8796093022764|384
8796093023138|1310
15393162789410|834
21990232555940|391
24189255811398|1064
28587302322686|1078
32985348833849|1273
4398046511463|567
6597069766695|858
6597069767625|929
8796093022467|760
13194139533332|531
13194139533589|1105
15393162789707|442
24189255811694|1211
30786325577812|1420
30786325577960|1168
32985348834262|975
65|1203
2199023255981|851
2199023256530|1039
4398046511535|1258
15393162789569|1396
17592186044824|268
19791209300474|939
19791209300739|347
21990232556180|1377
28587302322281|226
28587302322755|454
32985348833679|1342
32985348833686|593
8796093022290|1225
15393162789560|112
17592186044532|265
17592186044568|494
19791209300796|591
26388279067039|811
2199023255747|287
13194139533648|238
13194139533912|612
15393162789226|1165
17592186045370|1130
28587302322718|1128
30786325578724|713
2199023256405|155
10995116278292|619
21990232555627|1178
28587302322627|800
893|487
6597069767495|824
10995116277924|618
19791209300852|362
21990232555895|912
21990232556476|1271
32985348833559|924
32985348834096|340
10995116278281|1163
10995116278453|902
15393162789103|1433
15393162789349|1409
19791209300631|216
30786325578056|1392
555|425
2199023256403|130
4398046511628|1307
13194139533460|436
13194139533792|804
13194139534257|589
17592186044519|1181
19791209300124|1416
21990232555753|1385
24189255811862|1097
30786325578144|1221
30786325578231|1016
2199023255869|1262
4398046511154|1301
8796093022386|1215
13194139533523|1140
15393162788865|1147
17592186044605|484
24189255811103|605
24189255811719|1119
24189255811782|1301
26388279066717|976
26388279066958|922
28587302323020|936
2199023256300|1033
6597069766964|605
8796093022392|945
8796093022423|1238
10995116278554|410
10995116278570|336
13194139533432|1248
17592186045019|703
17592186045074|253
21990232556497|1340
30786325578670|796
2199023256363|805
4398046511937|1219
6597069766725|695
10995116277820|634
10995116278238|835
13194139533618|426
17592186045360|617
19791209300625|591
24189255811654|796
24189255811940|146
28587302322372|1151
32985348834019|782
2199023255660|1242
8796093022634|805
15393162789262|968
4398046511338|535
10995116278300|370
15393162789746|1163
17592186044864|464
17592186045340|251
19791209300370|276
21990232555889|415
24189255811086|1166
512|478
13194139533909|438
26388279067512|255
28587302322515|964
32985348833314|972
32985348834004|192
407|798
2199023255637|423
4398046511152|1249
