Comment.id|Tag.id
274877907299|59
274877907299|2819
274877907299|5097
274877907299|5180
274877907299|10387
274877907299|10571
274877907299|15257
274877907302|59
274877907302|1771
274877907302|2830
274877907302|3104
274877907302|5097
274877907302|5180
274877907302|7079
274877907302|10387
274877907302|10571
274877907304|59
274877907304|2830
274877907304|3047
274877907304|3104
274877907304|5097
274877907304|5348
274877907304|6994
274877907304|7079
274877907304|8372
274877907304|10024
274877907304|10387
274877907307|59
274877907307|1339
274877907307|2062
274877907307|2095
274877907307|2930
274877907307|5059
274877907307|5180
274877907307|9086
274877907307|12224
274877907307|15257
274877907310|59
274877907310|775
274877907310|1771
274877907310|2959
274877907310|3104
274877907310|5097
274877907310|7526
274877907310|8054
274877907310|10571
274877907310|12718
274877907312|205
274877907312|1339
274877907312|2095
274877907312|3035
274877907312|5180
274877907312|6435
274877907312|7023
274877907312|7521
274877907312|15257
274877907313|59
274877907313|2095
274877907313|5180
274877907313|6435
274877907313|7505
274877907313|8296
274877907313|13221
274877907313|14191
274877907313|15257
274877907317|1339
274877907317|5289
274877907317|7380
274877907317|7510
274877907317|9287
274877907317|13816
274877907318|2893
274877907318|5076
274877907318|7510
274877907318|9302
274877907318|13816
274877907323|975
274877907323|1025
274877907323|1339
274877907323|2054
274877907323|2880
274877907323|6392
274877907323|9223
274877907323|9723
274877907324|289
274877907324|975
274877907324|1952
274877907324|2007
274877907324|2054
274877907324|2937
274877907324|7020
274877907324|9050
274877907324|12408
274877907329|2054
274877907329|5101
274877907329|6449
274877907329|7671
274877907329|9050
274877907329|9221
274877907329|9223
274877907329|12408
1030792151443|11806
1030792151445|1524
1030792151445|10734
1030792151448|1524
1030792151448|2834
1030792151449|5068
1030792151450|5080
1030792151450|11806
1030792151455|9325
824633721537|1863
824633721537|5066
824633721537|6674
824633721537|9280
824633721539|571
824633721539|6674
824633721539|7372
824633721539|9280
824633721542|1863
824633721542|5066
824633721542|6674
824633721542|9036
824633721542|11250
137438954189|563
