Comment.id|Comment.id.1
274877907301|274877907299
274877907302|274877907299
274877907303|274877907302
274877907304|274877907302
274877907305|274877907302
274877907308|274877907302
274877907310|274877907302
274877907318|274877907317
274877907320|274877907317
274877907325|274877907324
274877907327|274877907324
1030792151447|1030792151443
1030792151450|1030792151443
1030792151451|1030792151450
1030792151452|1030792151448
1030792151453|1030792151448
1030792151454|1030792151445
1030792151455|1030792151443
1030792151456|1030792151448
824633721539|824633721537
824633721541|824633721539
824633721542|824633721537
137438954191|137438954189
137438954192|137438954189
137438954193|137438954189
137438954195|137438954194
137438954196|137438954194
137438954197|137438954194
343597384408|343597384407
687194768094|687194768092
687194768095|687194768094
687194768096|687194768092
687194768098|687194768097
687194768099|687194768097
687194768101|687194768097
687194768102|687194768100
687194768103|687194768100
687194768111|687194768109
687194768112|687194768109
687194768113|687194768109
687194768114|687194768109
687194768117|687194768109
687194768120|687194768109
687194768123|687194768121
137438954247|137438954244
137438954249|137438954244
137438954251|137438954244
137438954258|137438954256
137438954259|137438954256
137438954260|137438954256
137438954261|137438954256
137438954262|137438954256
137438954266|137438954265
137438954267|137438954265
137438954268|137438954265
137438954269|137438954256
137438954270|137438954265
137438954271|137438954269
412316861223|412316861222
412316861224|412316861222
412316861226|412316861222
412316861227|412316861222
687194768178|687194768176
687194768179|687194768175
687194768181|687194768180
687194768182|687194768180
687194768183|687194768175
687194768184|687194768175
687194768186|687194768180
687194768187|687194768175
687194768189|687194768175
687194768190|687194768175
687194768191|687194768176
755914244931|755914244930
755914244932|755914244931
755914244936|755914244931
1030792152213|1030792152210
1030792152215|1030792152212
1030792152216|1030792152210
1030792152217|1030792152211
1030792152218|1030792152217
1030792152219|1030792152211
1030792152221|1030792152210
206158431403|206158431401
206158431404|206158431401
206158431406|206158431405
206158431408|206158431405
206158431409|206158431407
206158431410|206158431409
206158431412|206158431405
206158431413|206158431411
206158431414|206158431409
206158431415|206158431412
274877908185|274877908184
618475291870|618475291869
618475291871|618475291870
618475291872|618475291870
618475291873|618475291872
618475291874|618475291870
618475291876|618475291869
618475291877|618475291870
618475291878|618475291872
1030792152301|1030792152298
755914245363|755914245360
755914245364|755914245360
755914245366|755914245364
481036338446|481036338445
481036338447|481036338445
481036338448|481036338445
481036338451|481036338445
343597385002|343597384998
343597385003|343597385000
343597385005|343597384998
618475291952|618475291951
618475291953|618475291951
618475291954|618475291951
618475291958|618475291953
549755815229|549755815227
549755815231|549755815227
549755815232|549755815227
549755815233|549755815227
549755815235|549755815231
549755815236|549755815231
549755815237|549755815229
343597385032|343597385031
343597385033|343597385031
343597385034|343597385031
343597385035|343597385031
343597385037|343597385036
343597385038|343597385033
343597385039|343597385033
343597385042|343597385031
343597385043|343597385031
343597385044|343597385031
343597385045|343597385041
343597385046|343597385036
343597385052|343597385051
343597385053|343597385051
412316861796|343597385059
343597385061|343597385058
687194768775|687194768774
687194768779|687194768778
687194768785|687194768778
687194768786|687194768778
687194768787|687194768778
687194768788|687194768783
687194768789|687194768778
687194768790|687194768778
687194768792|687194768791
687194768793|687194768790
687194768795|687194768783
687194768796|687194768778
687194768799|687194768798
687194768800|687194768799
687194768801|687194768799
687194768802|687194768799
687194768803|687194768799
687194768804|687194768798
687194768805|687194768804
687194768806|687194768803
687194768807|687194768798
687194768808|687194768799
687194768809|687194768808
687194768810|687194768804
687194768811|687194768805
687194768812|687194768810
687194768816|687194768814
687194768817|687194768814
687194768819|687194768814
687194768824|687194768823
687194768825|687194768823
687194768826|687194768823
687194768827|687194768823
687194768832|687194768823
687194768839|687194768838
687194768840|687194768836
687194768841|687194768836
687194768844|687194768838
687194768847|687194768836
687194768848|687194768836
687194768856|687194768853
687194768857|687194768851
687194768858|687194768851
687194768861|687194768858
687194768862|687194768854
687194768863|687194768851
687194768865|687194768851
687194768869|687194768868
687194768871|687194768868
687194768872|687194768868
687194768873|687194768868
343597385200|343597385199
343597385201|343597385199
343597385202|343597385199
343597385204|343597385197
343597385205|343597385197
343597385207|343597385202
343597385208|343597385200
343597385209|343597385208
343597385211|343597385202
343597385213|343597385197
343597385219|343597385218
343597385221|343597385219
343597385222|343597385219
343597385224|343597385222
343597385225|343597385220
343597385226|343597385221
343597385227|343597385222
343597385228|343597385221
343597385232|343597385231
343597385233|343597385231
687194768920|687194768918
687194768921|687194768918
687194768924|687194768918
687194768926|687194768925
687194768927|687194768918
687194768928|687194768926
687194768931|687194768918
687194768932|687194768926
