Comment.id|Place.id
618475290625|50
618475290626|50
274877907295|96
274877907296|44
274877907297|44
274877907298|44
274877907299|96
274877907300|96
274877907301|96
274877907302|96
274877907303|96
274877907304|96
274877907305|44
274877907306|44
274877907307|96
274877907308|44
274877907309|96
274877907310|96
274877907311|44
274877907312|44
274877907313|96
274877907315|96
274877907316|44
274877907317|96
274877907318|96
274877907319|96
274877907320|44
274877907321|44
274877907323|96
274877907324|44
274877907325|96
274877907326|96
274877907327|96
274877907328|96
274877907329|44
1030792151443|35
1030792151444|1
1030792151445|1
1030792151446|60
1030792151447|53
1030792151448|53
1030792151449|1
1030792151450|60
1030792151451|1
1030792151452|53
1030792151453|49
1030792151454|53
1030792151455|49
1030792151456|53
824633721537|0
824633721538|0
824633721539|0
824633721540|0
824633721541|0
824633721542|0
824633721543|0
824633721544|0
137438954186|0
137438954187|0
137438954188|107
137438954189|0
137438954190|0
137438954191|0
137438954192|0
137438954193|0
137438954194|0
137438954195|0
137438954196|0
137438954197|0
343597384407|0
343597384408|0
687194768090|0
687194768091|0
687194768092|0
687194768093|0
687194768094|0
687194768095|0
687194768096|0
687194768097|0
687194768098|0
687194768099|0
687194768100|0
687194768101|0
687194768102|0
687194768103|0
687194768104|0
687194768105|0
687194768107|0
687194768108|0
687194768109|0
687194768110|0
687194768111|0
687194768112|0
687194768113|0
687194768114|0
687194768115|0
687194768116|0
687194768117|0
687194768118|0
687194768119|0
687194768120|0
687194768121|0
687194768122|0
687194768123|0
412316861181|0
412316861182|0
412316861183|0
137438954241|0
137438954242|0
137438954243|0
137438954244|0
137438954245|0
137438954246|0
137438954247|0
137438954248|0
137438954249|0
137438954250|0
137438954251|0
137438954253|0
137438954254|0
137438954255|0
137438954256|0
137438954257|0
137438954258|0
137438954259|0
137438954260|0
137438954261|7
137438954262|0
137438954263|0
137438954264|0
137438954265|0
137438954266|0
137438954267|0
137438954268|0
137438954269|0
137438954270|0
137438954271|0
137438954274|0
137438954275|0
412316861221|0
412316861222|0
412316861223|0
412316861224|0
412316861225|0
412316861226|0
412316861227|0
687194768173|0
687194768174|0
687194768175|0
687194768176|0
687194768177|0
687194768178|0
687194768179|0
687194768180|0
687194768181|0
687194768182|0
687194768183|0
687194768184|0
687194768185|0
687194768186|14
687194768187|0
687194768188|0
687194768189|0
687194768190|0
687194768191|0
687194768192|0
755914244930|1
755914244931|1
755914244932|1
755914244933|1
755914244934|1
755914244935|1
755914244936|1
755914244937|1
1030792152210|96
1030792152211|104
1030792152212|51
1030792152213|51
1030792152214|104
1030792152215|107
1030792152216|104
1030792152217|109
1030792152218|109
1030792152219|109
1030792152220|104
1030792152221|107
206158431391|109
206158431392|104
206158431393|96
206158431394|104
206158431395|104
206158431396|104
206158431397|96
206158431399|109
206158431400|96
206158431401|109
206158431402|109
206158431403|96
206158431404|96
206158431405|104
206158431406|105
206158431407|96
206158431408|104
206158431409|109
206158431410|109
206158431411|96
206158431412|96
206158431413|109
206158431414|109
206158431415|109
206158431417|104
206158431418|96
274877908184|53
274877908185|55
618475291868|51
618475291869|55
618475291870|51
618475291871|51
618475291872|61
618475291873|51
618475291874|54
618475291875|51
618475291876|51
618475291877|78
618475291878|54
1030792152298|53
1030792152299|51
1030792152300|69
1030792152301|51
1030792152302|84
755914245360|44
755914245361|96
755914245362|0
755914245363|54
755914245364|35
755914245365|78
755914245366|0
755914245367|54
687194768633|84
687194768634|51
687194768635|54
687194768636|77
481036338445|51
481036338446|54
481036338447|77
481036338448|84
481036338449|55
481036338450|56
481036338451|61
481036338452|61
343597384998|55
343597384999|0
343597385000|54
343597385001|53
343597385002|55
343597385003|51
343597385004|54
343597385005|55
618475291951|61
618475291952|54
618475291953|78
618475291954|55
618475291955|51
618475291956|53
618475291957|54
618475291958|51
549755815225|105
549755815226|51
549755815227|51
549755815228|42
549755815229|55
549755815230|55
549755815231|78
549755815232|0
549755815233|82
549755815234|51
549755815235|78
549755815236|101
549755815237|51
343597385031|51
343597385032|54
343597385033|56
343597385034|51
343597385035|84
343597385036|0
343597385037|51
343597385038|53
343597385039|55
343597385040|54
343597385041|84
343597385042|54
343597385043|53
343597385044|0
343597385045|53
343597385046|51
343597385048|53
343597385049|55
343597385050|78
343597385051|53
343597385052|54
343597385053|55
343597385054|54
343597385055|53
412316861793|61
343597385058|84
343597385059|56
412316861796|53
343597385061|51
343597385062|55
274877908328|54
274877908329|84
343597385081|84
343597385082|78
343597385083|51
343597385084|54
343597385085|56
343597385086|55
343597385087|56
343597385088|56
343597385089|78
687194768771|82
687194768772|61
687194768774|61
687194768775|51
687194768777|56
687194768778|51
687194768779|53
687194768780|53
687194768781|51
687194768782|54
687194768783|53
687194768784|54
687194768785|51
687194768786|84
687194768787|61
687194768788|51
687194768789|61
687194768790|98
687194768791|77
687194768792|78
687194768793|54
687194768794|61
687194768795|77
687194768796|51
687194768798|98
687194768799|51
687194768800|61
687194768801|51
687194768802|51
687194768803|0
687194768804|82
687194768805|56
687194768806|54
687194768807|82
687194768808|98
687194768809|54
687194768810|82
687194768811|82
