Person.id|Tag.id|eid_generated
933|59|245894
933|291|245895
933|565|245896
933|569|245897
933|779|245898
933|780|245899
933|1178|245900
933|1203|245901
933|1444|245902
933|1614|245903
933|1764|245904
933|1767|245905
933|1936|245906
933|1985|245907
933|1989|245908
933|2011|245909
933|2016|245910
933|2035|245911
933|2036|245912
933|2054|245913
933|2057|245914
933|2075|245915
933|2097|245916
933|2104|245917
933|2120|245918
933|2777|245919
933|2778|245920
933|2780|245921
933|2783|245922
933|2792|245923
933|2801|245924
933|2803|245925
933|2811|245926
933|2812|245927
933|2828|245928
933|2831|245929
933|2847|245930
933|2855|245931
933|2932|245932
933|2933|245933
933|2941|245934
933|2973|245935
933|2975|245936
933|3045|245937
933|3047|245938
933|3081|245939
933|5142|245940
933|5159|245941
933|5163|245942
933|5170|245943
933|5467|245944
933|5682|245945
933|5875|245946
933|6040|245947
933|6144|245948
933|6368|245949
933|6532|245950
933|6934|245951
933|6962|245952
933|7032|245953
933|7335|245954
933|7509|245955
933|7545|245956
933|7876|245957
933|8942|245958
933|9144|245959
933|9146|245960
933|9163|245961
933|13818|245962
933|13828|245963
6597069767117|321|245964
6597069767117|1545|245965
6597069767117|1999|245966
6597069767117|2031|245967
6597069767117|2888|245968
6597069767117|2940|245969
6597069767117|5196|245970
6597069767117|7524|245971
6597069767117|9170|245972
6597069767117|10190|245973
10995116278700|138|245974
10995116278700|523|245975
10995116278700|581|245976
10995116278700|784|245977
10995116278700|1186|245978
10995116278700|1424|245979
10995116278700|1760|245980
10995116278700|1985|245981
10995116278700|1995|245982
10995116278700|1997|245983
10995116278700|2001|245984
10995116278700|2008|245985
10995116278700|2039|245986
10995116278700|2106|245987
10995116278700|2109|245988
10995116278700|2777|245989
10995116278700|2779|245990
10995116278700|2785|245991
10995116278700|2818|245992
10995116278700|2831|245993
10995116278700|2856|245994
10995116278700|2859|245995
10995116278700|2862|245996
10995116278700|2876|245997
10995116278700|2907|245998
10995116278700|2958|245999
10995116278700|2960|246000
10995116278700|2984|246001
10995116278700|3021|246002
10995116278700|3028|246003
10995116278700|3040|246004
10995116278700|3072|246005
10995116278700|3096|246006
10995116278700|4849|246007
10995116278700|5070|246008
10995116278700|5078|246009
10995116278700|5129|246010
10995116278700|5146|246011
10995116278700|6399|246012
10995116278700|6400|246013
10995116278700|6890|246014
10995116278700|6962|246015
10995116278700|6964|246016
10995116278700|7330|246017
10995116278700|7598|246018
10995116278700|8784|246019
10995116278700|9163|246020
10995116278700|10492|246021
10995116278700|10681|246022
10995116278700|11250|246023
10995116278700|11628|246024
10995116278700|11852|246025
21990232556027|205|246026
21990232556027|295|246027
21990232556027|543|246028
21990232556027|566|246029
21990232556027|1030|246030
21990232556027|1448|246031
21990232556027|1616|246032
21990232556027|1672|246033
21990232556027|1984|246034
21990232556027|2021|246035
21990232556027|2029|246036
21990232556027|2047|246037
21990232556027|2780|246038
21990232556027|2792|246039
21990232556027|2808|246040
21990232556027|2861|246041
21990232556027|2924|246042
21990232556027|2933|246043
21990232556027|6470|246044
21990232556027|6733|246045
21990232556027|7494|246046
21990232556027|9141|246047
21990232556027|11088|246048
21990232556027|11379|246049
21990232556027|15333|246050
26388279066636|1524|246051
26388279066636|2041|246052
26388279066636|14812|246053
28587302322727|265|246054
28587302322727|1908|246055
28587302322727|1953|246056
28587302322727|2081|246057
28587302322727|2779|246058
28587302322727|2841|246059
28587302322727|2860|246060
28587302322727|2900|246061
28587302322727|2907|246062
28587302322727|2990|246063
28587302322727|6984|246064
28587302322727|6989|246065
28587302322727|7604|246066
28587302322727|9144|246067
2199023256181|1|246068
2199023256181|138|246069
2199023256181|148|246070
2199023256181|593|246071
2199023256181|784|246072
2199023256181|785|246073
2199023256181|807|246074
2199023256181|1201|246075
2199023256181|1444|246076
2199023256181|1454|246077
2199023256181|1615|246078
2199023256181|1667|246079
2199023256181|1668|246080
2199023256181|1681|246081
2199023256181|1863|246082
2199023256181|1985|246083
2199023256181|1988|246084
2199023256181|1989|246085
2199023256181|1990|246086
2199023256181|2000|246087
2199023256181|2011|246088
2199023256181|2027|246089
2199023256181|2040|246090
2199023256181|2066|246091
2199023256181|2777|246092
2199023256181|2778|246093
2199023256181|2785|246094
2199023256181|2786|246095
2199023256181|2787|246096
2199023256181|2788|246097
2199023256181|2796|246098
2199023256181|2804|246099
2199023256181|2807|246100
2199023256181|2811|246101
2199023256181|2842|246102
2199023256181|2853|246103
2199023256181|2865|246104
2199023256181|2869|246105
2199023256181|2918|246106
2199023256181|2935|246107
2199023256181|2939|246108
2199023256181|2942|246109
2199023256181|2956|246110
2199023256181|2982|246111
2199023256181|3001|246112
