Forum.id|Person.id|joinDate
0|4398046511628|2010-07-30T15:20:03.298+0000
0|8796093023017|2010-10-27T02:33:16.288+0000
0|28587302322537|2012-04-12T13:57:08.931+0000
1030792151041|4398046511628|2012-07-31T06:19:03.831+0000
1030792151041|8796093023017|2012-07-28T14:14:44.859+0000
412316860418|4398046511628|2011-10-31T03:50:11.445+0000
412316860418|8796093023017|2011-08-22T16:38:56.115+0000
343597383684|4398046511628|2011-07-27T13:04:11.728+0000
481036337159|4398046511628|2012-07-12T10:16:17.731+0000
481036337159|28587302322537|2012-06-16T17:38:48.139+0000
618475290632|28587302322537|2012-05-19T01:25:18.503+0000
481036337161|4398046511628|2012-08-30T20:26:25.323+0000
962072674314|8796093023017|2012-08-27T14:50:59.425+0000
962072674314|28587302322537|2012-08-24T12:59:53.091+0000
481036337163|4398046511628|2012-06-23T15:06:55.065+0000
481036337163|8796093023017|2012-07-01T11:00:19.455+0000
893353197580|4398046511628|2012-09-05T00:41:00.018+0000
893353197580|8796093023017|2012-08-27T14:53:05.664+0000
206158430221|28587302322537|2012-05-16T10:13:01.529+0000
343597383694|4398046511628|2011-04-21T19:37:13.079+0000
343597383694|28587302322537|2012-09-13T03:21:41.061+0000
481036337167|4398046511628|2011-12-20T07:27:45.132+0000
687194767377|4398046511628|2011-11-22T19:34:27.107+0000
343597383699|8796093023017|2012-06-30T20:55:22.182+0000
343597383699|28587302322537|2012-08-25T23:50:46.251+0000
481036337172|4398046511628|2011-05-04T17:34:06.906+0000
481036337172|8796093023017|2011-06-22T09:16:34.859+0000
481036337172|28587302322537|2012-06-17T19:25:06.731+0000
618475290646|8796093023017|2012-04-08T20:04:07.483+0000
68719476759|4398046511628|2011-05-12T04:19:27.790+0000
68719476759|8796093023017|2012-04-12T04:20:14.523+0000
68719476759|28587302322537|2012-08-15T00:08:38.974+0000
206158430232|4398046511628|2011-03-18T01:10:29.903+0000
343597383705|4398046511628|2011-05-19T20:55:27.069+0000
343597383705|8796093023017|2011-05-14T15:53:31.648+0000
137438953498|4398046511628|2011-08-17T07:42:13.047+0000
137438953498|8796093023017|2012-02-11T03:35:34.996+0000
137438953498|28587302322537|2012-05-30T23:02:01.339+0000
549755813915|4398046511628|2012-01-04T23:17:27.863+0000
549755813915|8796093023017|2011-09-22T04:09:43.947+0000
824633720860|4398046511628|2012-06-08T17:50:26.425+0000
824633720860|8796093023017|2012-07-30T07:11:00.910+0000
893353197597|4398046511628|2012-06-28T06:35:09.008+0000
