Place.id|Place.id.1|eid_generated
0|1454|76830
1|1454|76831
2|1455|76832
3|1456|76833
4|1454|76834
5|1457|76835
6|1456|76836
7|1456|76837
8|1455|76838
9|1456|76839
10|1456|76840
11|1458|76841
12|1458|76842
13|1456|76843
14|1456|76844
15|1458|76845
16|1454|76846
17|1454|76847
18|1454|76848
19|1454|76849
20|1456|76850
21|1455|76851
22|1455|76852
23|1456|76853
24|1456|76854
25|1455|76855
26|1455|76856
27|1454|76857
28|1455|76858
29|1459|76859
30|1458|76860
31|1456|76861
32|1456|76862
33|1454|76863
34|1458|76864
35|1459|76865
36|1458|76866
37|1456|76867
38|1456|76868
39|1455|76869
40|1456|76870
41|1454|76871
42|1456|76872
43|1456|76873
44|1455|76874
45|1456|76875
46|1454|76876
47|1457|76877
48|1456|76878
49|1457|76879
50|1456|76880
51|1454|76881
52|1454|76882
53|1458|76883
54|1454|76884
55|1454|76885
56|1456|76886
57|1458|76887
58|1454|76888
59|1454|76889
60|1455|76890
61|1457|76891
62|1459|76892
63|1456|76893
64|1456|76894
65|1454|76895
66|1458|76896
67|1454|76897
68|1455|76898
69|1457|76899
70|1457|76900
71|1458|76901
72|1456|76902
73|1455|76903
74|1455|76904
75|1456|76905
76|1455|76906
77|1456|76907
78|1456|76908
79|1456|76909
80|1454|76910
81|1456|76911
82|1454|76912
83|1455|76913
84|1455|76914
85|1454|76915
86|1456|76916
87|1455|76917
88|1454|76918
89|1456|76919
90|1455|76920
91|1457|76921
92|1456|76922
93|1456|76923
94|1454|76924
95|1456|76925
96|1455|76926
97|1455|76927
98|1454|76928
99|1456|76929
100|1455|76930
101|1456|76931
102|1455|76932
103|1454|76933
104|1455|76934
105|1454|76935
106|1456|76936
107|1456|76937
108|1457|76938
109|1454|76939
110|1455|76940
111|0|76941
112|0|76942
113|0|76943
114|0|76944
115|0|76945
116|0|76946
117|0|76947
118|0|76948
119|0|76949
120|0|76950
121|0|76951
122|0|76952
123|0|76953
124|0|76954
125|0|76955
126|0|76956
127|0|76957
128|0|76958
129|0|76959
130|0|76960
131|0|76961
132|0|76962
133|0|76963
134|0|76964
135|0|76965
136|0|76966
137|0|76967
138|0|76968
139|0|76969
140|0|76970
141|0|76971
142|0|76972
143|0|76973
144|0|76974
145|0|76975
146|0|76976
147|0|76977
148|0|76978
149|0|76979
150|0|76980
151|0|76981
152|0|76982
153|0|76983
154|0|76984
155|0|76985
156|0|76986
157|0|76987
158|0|76988
159|0|76989
160|0|76990
161|0|76991
162|0|76992
163|0|76993
164|0|76994
165|0|76995
166|0|76996
167|0|76997
168|0|76998
169|0|76999
170|0|77000
171|0|77001
172|0|77002
173|0|77003
174|0|77004
175|0|77005
176|0|77006
177|0|77007
178|0|77008
179|0|77009
180|0|77010
181|0|77011
182|0|77012
183|0|77013
184|0|77014
185|0|77015
186|0|77016
187|0|77017
188|0|77018
189|0|77019
190|0|77020
191|0|77021
192|0|77022
193|0|77023
194|0|77024
195|0|77025
196|0|77026
197|0|77027
198|0|77028
199|0|77029
200|0|77030
201|0|77031
202|0|77032
203|0|77033
204|0|77034
205|0|77035
206|0|77036
207|0|77037
208|0|77038
209|0|77039
210|0|77040
211|0|77041
212|0|77042
213|0|77043
214|0|77044
215|0|77045
216|0|77046
217|0|77047
218|0|77048
219|0|77049
220|0|77050
221|0|77051
222|0|77052
223|0|77053
224|0|77054
225|0|77055
226|0|77056
227|0|77057
228|0|77058
229|0|77059
230|0|77060
231|0|77061
232|0|77062
233|0|77063
234|0|77064
235|0|77065
236|0|77066
237|0|77067
238|0|77068
239|0|77069
240|0|77070
241|0|77071
242|0|77072
243|0|77073
244|0|77074
245|0|77075
246|0|77076
247|0|77077
248|0|77078
249|0|77079
250|0|77080
251|0|77081
252|0|77082
253|0|77083
254|0|77084
255|0|77085
256|0|77086
257|0|77087
258|0|77088
259|0|77089
260|0|77090
261|0|77091
262|0|77092
263|0|77093
264|0|77094
265|0|77095
266|0|77096
267|0|77097
268|0|77098
269|0|77099
270|0|77100
271|0|77101
272|0|77102
273|0|77103
274|0|77104
275|0|77105
276|0|77106
277|0|77107
278|0|77108
279|0|77109
280|0|77110
281|0|77111
282|0|77112
283|0|77113
284|0|77114
285|0|77115
286|0|77116
287|0|77117
288|0|77118
289|0|77119
290|0|77120
291|0|77121
292|0|77122
293|0|77123
294|0|77124
295|0|77125
296|0|77126
297|0|77127
298|0|77128
299|0|77129
300|0|77130
301|0|77131
302|0|77132
303|0|77133
304|0|77134
305|0|77135
306|0|77136
307|0|77137
308|0|77138
309|0|77139
310|1|77140
311|1|77141
312|1|77142
313|1|77143
314|1|77144
315|1|77145
316|1|77146
317|1|77147
318|1|77148
319|1|77149
320|1|77150
321|1|77151
322|1|77152
323|1|77153
324|1|77154
325|1|77155
326|1|77156
327|1|77157
328|1|77158
329|1|77159
330|1|77160
331|1|77161
332|1|77162
333|1|77163
334|1|77164
335|1|77165
336|1|77166
337|1|77167
338|1|77168
339|1|77169
340|1|77170
341|1|77171
342|1|77172
343|1|77173
344|1|77174
345|1|77175
346|1|77176
347|1|77177
348|1|77178
349|1|77179
350|1|77180
351|1|77181
352|1|77182
353|1|77183
354|1|77184
355|1|77185
356|1|77186
357|1|77187
358|1|77188
359|1|77189
360|1|77190
361|1|77191
362|1|77192
363|1|77193
364|1|77194
365|1|77195
366|1|77196
367|1|77197
368|1|77198
369|1|77199
370|1|77200
371|1|77201
372|1|77202
373|1|77203
374|1|77204
375|1|77205
376|1|77206
377|1|77207
378|1|77208
379|1|77209
380|1|77210
381|1|77211
382|1|77212
383|1|77213
384|1|77214
385|1|77215
386|1|77216
387|1|77217
388|1|77218
389|1|77219
390|1|77220
391|1|77221
392|1|77222
393|1|77223
394|1|77224
395|1|77225
396|1|77226
397|1|77227
398|1|77228
399|1|77229
400|1|77230
401|1|77231
402|1|77232
403|1|77233
404|1|77234
405|1|77235
406|1|77236
407|1|77237
408|1|77238
409|1|77239
410|1|77240
411|1|77241
412|1|77242
413|1|77243
414|1|77244
415|1|77245
416|1|77246
417|1|77247
418|1|77248
419|1|77249
420|1|77250
421|1|77251
422|1|77252
423|1|77253
424|1|77254
425|1|77255
426|1|77256
427|1|77257
428|1|77258
429|1|77259
430|1|77260
431|1|77261
432|1|77262
433|1|77263
434|1|77264
435|1|77265
436|1|77266
437|1|77267
438|1|77268
439|1|77269
440|1|77270
441|1|77271
442|1|77272
443|1|77273
444|1|77274
445|1|77275
446|1|77276
447|1|77277
448|1|77278
449|1|77279
450|1|77280
451|1|77281
452|1|77282
453|1|77283
454|1|77284
455|1|77285
456|1|77286
457|1|77287
458|1|77288
459|1|77289
460|1|77290
461|1|77291
462|1|77292
463|1|77293
464|1|77294
465|1|77295
466|1|77296
467|1|77297
468|1|77298
469|1|77299
470|1|77300
471|1|77301
472|1|77302
473|1|77303
474|1|77304
475|1|77305
476|1|77306
477|1|77307
478|1|77308
479|1|77309
480|1|77310
481|1|77311
482|1|77312
483|1|77313
484|1|77314
485|1|77315
486|1|77316
487|1|77317
488|1|77318
489|1|77319
490|1|77320
491|1|77321
492|1|77322
493|1|77323
494|1|77324
495|1|77325
496|1|77326
497|1|77327
498|1|77328
499|1|77329
500|1|77330
501|1|77331
502|1|77332
503|1|77333
504|1|77334
505|1|77335
506|1|77336
507|1|77337
508|2|77338
509|3|77339
510|4|77340
511|5|77341
512|6|77342
513|7|77343
514|8|77344
515|9|77345
516|10|77346
517|11|77347
518|12|77348
519|13|77349
520|14|77350
521|15|77351
522|16|77352
523|17|77353
524|18|77354
525|19|77355
526|20|77356
527|21|77357
528|22|77358
529|23|77359
530|24|77360
531|25|77361
532|26|77362
533|27|77363
