Comment.id|Person.id
618475290625|8796093023017
618475290626|8796093023017
274877907295|4398046511257
274877907296|2199023256277
274877907297|2199023256277
274877907298|2199023256277
274877907299|4398046511257
274877907300|4398046511257
274877907301|4398046511257
274877907302|4398046511257
274877907303|4398046511257
274877907304|4398046511257
274877907305|2199023256277
274877907306|2199023256277
274877907307|4398046511257
274877907308|2199023256277
274877907309|4398046511257
274877907310|4398046511257
274877907311|2199023256277
274877907312|2199023256277
274877907313|4398046511257
274877907315|4398046511257
274877907316|2199023256277
274877907317|4398046511257
274877907318|4398046511257
274877907319|4398046511257
274877907320|2199023256277
274877907321|2199023256277
274877907323|4398046511257
274877907324|2199023256277
274877907325|4398046511257
274877907326|4398046511257
274877907327|4398046511257
274877907328|4398046511257
274877907329|2199023256277
1030792151443|13194139533344
1030792151444|19791209300852
1030792151445|19791209300852
1030792151446|13194139533574
1030792151447|150
1030792151448|150
1030792151449|19791209300852
1030792151450|13194139533574
1030792151451|19791209300852
1030792151452|150
1030792151453|26388279067534
1030792151454|150
1030792151455|26388279067534
1030792151456|13194139533344
824633721537|609
824633721538|21990232556166
824633721539|13194139533653
824633721540|250
824633721541|10995116278184
824633721542|13194139534154
824633721543|19791209300771
824633721544|13194139533584
137438954186|609
137438954187|250
137438954188|609
137438954189|609
137438954190|250
137438954191|250
137438954192|609
137438954193|609
137438954194|609
137438954195|609
137438954196|250
137438954197|250
343597384407|8796093022369
343597384408|8796093022369
687194768090|10995116278184
687194768091|13194139534142
687194768092|8796093022369
687194768093|17592186045074
687194768094|13194139533584
687194768095|10995116278184
687194768096|13194139533653
687194768097|13194139534154
687194768098|250
687194768099|13194139534142
687194768100|13194139534142
687194768101|13194139533584
687194768102|13194139533653
687194768103|13194139534142
687194768104|19791209300771
687194768105|13194139534142
687194768107|19791209300771
687194768108|609
687194768109|250
687194768110|8796093022369
687194768111|10995116278184
687194768112|13194139533535
687194768113|250
687194768114|13194139533653
687194768115|17592186045074
687194768116|10995116278184
687194768117|609
687194768118|250
687194768119|19791209300771
687194768120|250
687194768121|13194139533584
687194768122|13194139534154
687194768123|17592186045074
412316861181|8796093022369
412316861182|8796093022369
412316861183|8796093022369
137438954241|609
137438954242|609
137438954243|609
137438954244|609
137438954245|250
137438954246|250
137438954247|250
137438954248|250
137438954249|250
137438954250|609
137438954251|250
137438954253|609
137438954254|609
137438954255|250
137438954256|250
137438954257|609
137438954258|609
137438954259|250
137438954260|250
137438954261|609
137438954262|250
137438954263|609
137438954264|609
137438954265|250
137438954266|250
137438954267|250
137438954268|609
137438954269|609
137438954270|250
137438954271|609
137438954274|609
137438954275|250
412316861221|250
412316861222|10995116278184
412316861223|8796093022369
412316861224|609
412316861225|8796093022369
412316861226|10995116278184
412316861227|250
687194768173|17592186045074
687194768174|13194139534142
687194768175|13194139533535
687194768176|8796093022369
687194768177|10995116278184
687194768178|8796093022369
687194768179|250
687194768180|13194139533584
687194768181|17592186045074
687194768182|13194139534142
687194768183|19791209300771
687194768184|13194139533535
687194768185|13194139534142
687194768186|13194139534154
687194768187|10995116278184
687194768188|8796093022369
