Post.id|Place.id
618475290624|58
3|100
412316860420|100
412316860421|100
412316860422|100
412316860423|100
412316860424|100
412316860425|100
412316860426|100
412316860427|100
412316860428|100
412316860429|100
412316860430|100
412316860431|100
412316860432|100
412316860433|100
412316860434|23
412316860435|100
412316860436|100
412316860437|100
412316860438|100
962072674327|100
962072674328|100
962072674329|100
962072674330|100
962072674331|100
962072674332|100
962072674333|100
962072674334|100
962072674335|100
962072674336|57
962072674337|100
962072674338|100
962072674339|100
962072674340|100
962072674341|100
962072674342|100
343597383719|100
343597383720|100
343597383721|100
343597383722|100
343597383723|100
343597383724|100
343597383725|100
962072674350|100
481036337201|100
481036337202|100
481036337203|100
481036337204|100
481036337205|100
481036337206|100
481036337207|100
481036337208|100
481036337209|100
481036337210|100
481036337211|100
481036337212|100
481036337213|100
481036337214|100
481036337215|100
481036337216|100
618475290689|100
618475290690|100
618475290691|100
618475290692|100
618475290693|100
618475290694|100
618475290695|100
618475290696|100
618475290697|100
618475290698|100
618475290699|100
618475290700|100
618475290701|100
618475290702|100
618475290703|100
618475290704|100
618475290705|100
618475290706|100
618475290707|100
618475290708|100
481036337237|100
962072674390|100
962072674391|100
962072674392|100
962072674393|100
962072674394|100
962072674395|100
962072674396|100
962072674397|100
962072674398|100
962072674399|100
962072674400|100
962072674401|100
962072674402|100
962072674403|100
962072674404|100
962072674405|100
962072674406|100
962072674407|100
962072674408|100
481036337257|100
481036337258|100
481036337259|100
481036337260|100
481036337261|100
481036337262|100
893353197679|100
893353197680|100
893353197681|100
893353197682|100
893353197683|100
893353197684|100
893353197685|100
893353197686|100
893353197687|100
893353197688|100
893353197689|100
893353197690|100
893353197691|100
893353197692|100
893353197693|100
893353197694|100
343597383807|100
343597383808|100
343597383809|100
343597383810|100
343597383811|100
343597383812|100
343597383813|100
343597383814|100
343597383815|100
343597383816|100
343597383817|100
343597383818|100
343597383819|100
343597383820|100
343597383821|100
343597383822|100
343597383823|100
343597383824|100
343597383825|100
343597383826|100
481036337299|100
481036337300|100
481036337301|100
481036337302|100
481036337303|100
481036337304|100
481036337305|100
481036337306|37
481036337307|100
481036337308|51
481036337309|100
481036337310|100
481036337311|100
481036337312|100
481036337313|100
481036337314|100
481036337315|100
481036337316|100
481036337317|100
549755814054|66
549755814055|100
549755814056|100
549755814057|100
549755814058|100
549755814059|100
549755814060|100
549755814061|100
549755814062|100
549755814063|100
549755814064|100
549755814065|100
549755814066|4
549755814067|100
549755814068|100
549755814069|100
687194767542|100
687194767543|100
687194767544|100
687194767545|100
687194767546|100
687194767547|100
687194767548|100
687194767549|100
481036337361|100
481036337362|100
481036337363|100
481036337364|100
481036337365|100
481036337366|100
481036337367|100
481036337368|100
481036337369|100
481036337370|100
481036337371|100
481036337372|100
481036337373|100
481036337374|100
481036337375|100
824633721056|100
824633721057|100
824633721058|100
824633721059|100
824633721060|100
824633721061|100
824633721062|100
824633721063|100
618475290856|100
618475290857|100
68719476970|100
68719476971|100
68719476972|7
68719476973|100
68719476974|100
68719476975|100
68719476976|100
68719476977|100
68719476978|100
68719476979|100
68719476980|100
68719476981|100
68719476982|100
68719476983|100
68719476984|100
68719476985|100
68719476986|100
68719476987|100
68719476988|100
206158430461|100
206158430462|100
206158430463|100
206158430464|100
206158430465|100
206158430466|100
206158430467|100
206158430468|100
206158430469|100
343597383942|100
343597383943|100
343597383944|100
343597383945|100
343597383946|100
137438953739|100
137438953740|100
137438953741|100
137438953742|100
137438953743|100
137438953744|100
137438953745|100
137438953746|100
137438953747|100
137438953748|100
137438953749|100
137438953750|100
137438953751|100
137438953752|100
549755814169|100
549755814170|100
549755814171|100
549755814172|9
549755814173|100
549755814174|100
549755814175|100
549755814176|100
549755814177|100
549755814178|100
549755814179|67
549755814180|100
549755814181|100
549755814182|100
549755814183|100
549755814184|100
549755814185|100
549755814186|100
893353197867|100
893353197868|100
893353197869|100
893353197870|100
893353197871|100
893353197872|100
481036337457|100
481036337458|100
755914244403|100
755914244404|100
755914244405|100
1030792151350|100
1030792151351|100
1030792151352|100
1030792151353|100
1030792151354|100
1030792151355|100
1030792151356|100
1030792151357|100
1030792151358|100
1030792151359|100
1030792151360|100
1030792151361|100
893353197890|100
893353197891|100
893353197892|100
893353197893|100
893353197894|100
893353197895|24
618475290952|100
618475290953|100
618475290954|100
618475290955|100
618475290956|100
618475290957|100
618475290958|100
1030792151375|100
1030792151376|100
1030792151377|100
1030792151378|100
1030792151379|100
1030792151380|100
1030792151381|100
1030792151382|100
1030792151383|100
1030792151384|100
1030792151385|100
1030792151386|100
1030792151387|100
1030792151388|100
1030792151389|100
274877907294|87
274877907314|87
274877907322|87
1030792151442|71
962072674721|88
962072674722|71
962072674723|71
962072674724|71
962072674725|71
962072674726|77
962072674727|71
962072674728|71
962072674729|71
962072674730|71
962072674731|71
962072674732|71
962072674733|71
962072674734|71
962072674735|71
962072674736|71
962072674737|71
962072674738|71
962072674739|71
962072674740|71
962072674741|71
962072674742|71
962072674743|71
962072674744|71
962072674745|71
962072674746|71
962072674747|71
962072674748|71
962072674749|71
962072674750|71
962072674751|71
962072674752|71
962072674753|71
962072674754|71
962072674755|71
962072674756|71
893353198021|71
893353198022|71
893353198023|71
893353198024|71
893353198025|71
893353198026|71
893353198027|71
893353198028|71
893353198029|71
893353198030|71
893353198031|71
893353198032|71
893353198033|71
893353198034|71
893353198035|71
893353198036|71
893353198037|71
893353198038|71
893353198039|71
962072674790|71
962072674791|71
962072674792|71
962072674793|71
