Person.id|Place.id|eid_generated
8796093022220|1073|4333
2199023255591|858|4334
4398046511124|531|4335
4398046511105|1147|4336
8796093022239|605|4337
8796093022222|1166|4338
10995116277794|972|4339
48|1249|4340
6597069766681|1177|4341
6|411|4342
2199023255589|407|4343
8796093022235|1282|4344
2199023255555|866|4345
4398046511109|1014|4346
8796093022232|388|4347
2199023255574|699|4348
4398046511113|510|4349
6597069766672|1284|4350
10995116277793|969|4351
6597069766692|255|4352
4398046511146|966|4353
6597069766701|1264|4354
10995116277806|750|4355
4398046511133|452|4356
8796093022248|588|4357
4398046511112|958|4358
10995116277795|786|4359
2199023255565|1410|4360
6597069766674|1332|4361
4398046511123|1452|4362
4398046511147|148|4363
6597069766667|350|4364
4398046511136|737|4365
6597069766656|285|4366
8796093022215|339|4367
41|185|4368
4398046511151|1356|4369
6597069766660|554|4370
10|632|4371
10995116277809|144|4372
4398046511127|877|4373
4398046511106|642|4374
8796093022252|841|4375
8796093022238|1369|4376
2199023255580|1363|4377
8796093022246|747|4378
