Person.id|Tag.id|eid_generated
8796093022220|1524|3147
8796093022220|2041|3148
8796093022220|14812|3149
2199023255591|206|3150
2199023255591|299|3151
2199023255591|449|3152
2199023255591|469|3153
2199023255591|545|3154
2199023255591|565|3155
2199023255591|573|3156
2199023255591|579|3157
2199023255591|596|3158
2199023255591|974|3159
2199023255591|1021|3160
2199023255591|1022|3161
2199023255591|1164|3162
2199023255591|1170|3163
2199023255591|1171|3164
2199023255591|1176|3165
2199023255591|1178|3166
2199023255591|1186|3167
2199023255591|1191|3168
2199023255591|1195|3169
2199023255591|1201|3170
2199023255591|1205|3171
2199023255591|1421|3172
2199023255591|1614|3173
2199023255591|1674|3174
2199023255591|1759|3175
2199023255591|1764|3176
2199023255591|1930|3177
2199023255591|1953|3178
2199023255591|1984|3179
2199023255591|1985|3180
2199023255591|2003|3181
2199023255591|2018|3182
2199023255591|2049|3183
2199023255591|2083|3184
2199023255591|2095|3185
2199023255591|2118|3186
2199023255591|2787|3187
2199023255591|2797|3188
2199023255591|2823|3189
2199023255591|2848|3190
2199023255591|2895|3191
2199023255591|2928|3192
2199023255591|2959|3193
2199023255591|2966|3194
2199023255591|2973|3195
2199023255591|3024|3196
2199023255591|3026|3197
2199023255591|3048|3198
2199023255591|3070|3199
2199023255591|3111|3200
2199023255591|4849|3201
2199023255591|5078|3202
2199023255591|5117|3203
2199023255591|5159|3204
2199023255591|5191|3205
2199023255591|5192|3206
2199023255591|5258|3207
2199023255591|6395|3208
2199023255591|6418|3209
2199023255591|6945|3210
2199023255591|7580|3211
2199023255591|7683|3212
2199023255591|9036|3213
2199023255591|9084|3214
2199023255591|9170|3215
2199023255591|9177|3216
2199023255591|9477|3217
2199023255591|11254|3218
2199023255591|11375|3219
2199023255591|11408|3220
2199023255591|11531|3221
2199023255591|11743|3222
2199023255591|14036|3223
4398046511124|280|3224
4398046511124|284|3225
4398046511124|448|3226
4398046511124|540|3227
4398046511124|806|3228
4398046511124|1028|3229
4398046511124|1185|3230
4398046511124|1615|3231
4398046511124|1644|3232
4398046511124|1984|3233
4398046511124|1985|3234
4398046511124|2779|3235
4398046511124|2799|3236
4398046511124|2826|3237
