Forum.id|Tag.id|eid_generated
274877906944|1524|1669
274877906944|2041|1670
274877906944|14812|1671
343597383681|14812|1672
343597383682|14812|1673
343597383683|1524|1674
68719476740|206|1675
68719476740|299|1676
68719476740|449|1677
68719476740|469|1678
68719476740|545|1679
68719476740|565|1680
68719476740|573|1681
68719476740|579|1682
68719476740|596|1683
68719476740|974|1684
68719476740|1021|1685
68719476740|1022|1686
68719476740|1164|1687
68719476740|1170|1688
68719476740|1171|1689
68719476740|1176|1690
68719476740|1178|1691
68719476740|1186|1692
68719476740|1191|1693
68719476740|1195|1694
68719476740|1201|1695
68719476740|1205|1696
68719476740|1421|1697
68719476740|1614|1698
68719476740|1674|1699
68719476740|1759|1700
68719476740|1764|1701
68719476740|1930|1702
68719476740|1953|1703
68719476740|1984|1704
68719476740|1985|1705
68719476740|2003|1706
68719476740|2018|1707
68719476740|2049|1708
68719476740|2083|1709
68719476740|2095|1710
68719476740|2118|1711
68719476740|2787|1712
68719476740|2797|1713
68719476740|2823|1714
68719476740|2848|1715
68719476740|2895|1716
68719476740|2928|1717
68719476740|2959|1718
68719476740|2966|1719
68719476740|2973|1720
68719476740|3024|1721
68719476740|3026|1722
68719476740|3048|1723
68719476740|3070|1724
68719476740|3111|1725
68719476740|4849|1726
68719476740|5078|1727
68719476740|5117|1728
68719476740|5159|1729
68719476740|5191|1730
68719476740|5192|1731
68719476740|5258|1732
68719476740|6395|1733
68719476740|6418|1734
68719476740|6945|1735
68719476740|7580|1736
68719476740|7683|1737
68719476740|9036|1738
68719476740|9084|1739
68719476740|9170|1740
68719476740|9177|1741
68719476740|9477|1742
68719476740|11254|1743
68719476740|11375|1744
68719476740|11408|1745
68719476740|11531|1746
68719476740|11743|1747
68719476740|14036|1748
137438953477|280|1749
137438953477|284|1750
137438953477|448|1751
137438953477|540|1752
137438953477|806|1753
137438953477|1028|1754
137438953477|1185|1755
137438953477|1615|1756
137438953477|1644|1757
137438953477|1984|1758
137438953477|1985|1759
137438953477|2779|1760
137438953477|2799|1761
137438953477|2826|1762
137438953477|2878|1763
137438953477|2890|1764
137438953477|2945|1765
137438953477|3004|1766
137438953477|3010|1767
137438953477|3083|1768
137438953477|5156|1769
137438953477|5158|1770
137438953477|5854|1771
137438953477|6071|1772
137438953477|6377|1773
137438953477|6658|1774
137438953477|6962|1775
137438953477|6990|1776
137438953477|7534|1777
137438953477|14189|1778
137438953477|14956|1779
137438953478|461|1780
137438953478|592|1781
137438953478|1024|1782
137438953478|1195|1783
137438953478|1548|1784
137438953478|1985|1785
137438953478|1988|1786
137438953478|2034|1787
137438953478|2067|1788
137438953478|2782|1789
137438953478|5117|1790
137438953478|5124|1791
137438953478|5147|1792
137438953478|7603|1793
137438953478|13138|1794
274877906951|1410|1795
274877906952|1410|1796
274877906954|1410|1797
274877906956|139|1798
274877906956|290|1799
274877906956|584|1800
274877906956|779|1801
274877906956|781|1802
274877906956|782|1803
274877906956|783|1804
274877906956|804|1805
274877906956|1031|1806
274877906956|1621|1807
274877906956|1760|1808
274877906956|1763|1809
274877906956|1997|1810
274877906956|2001|1811
274877906956|2008|1812
274877906956|2031|1813
274877906956|2038|1814
274877906956|2045|1815
274877906956|2067|1816
274877906956|2074|1817
274877906956|2794|1818
274877906956|2797|1819
274877906956|2824|1820
274877906956|2825|1821
274877906956|2826|1822
274877906956|2865|1823
274877906956|2870|1824
274877906956|2908|1825
274877906956|2938|1826
274877906956|2942|1827
274877906956|2999|1828
274877906956|3020|1829
274877906956|3035|1830
274877906956|3041|1831
274877906956|3043|1832
274877906956|3044|1833
274877906956|5063|1834
274877906956|5156|1835
274877906956|5163|1836
274877906956|6763|1837
274877906956|6887|1838
274877906956|6991|1839
274877906956|7148|1840
274877906956|7507|1841
274877906956|7517|1842
274877906956|8225|1843
274877906956|8372|1844
274877906956|10712|1845
274877906956|10925|1846
274877906956|11515|1847
274877906956|11582|1848
274877906957|2999|1849
343597383696|1031|1850
343597383697|458|1851
343597383697|790|1852
343597383697|1200|1853
343597383697|2033|1854
343597383697|2789|1855
343597383697|2790|1856
343597383697|2871|1857
343597383697|2932|1858
343597383697|4966|1859
343597383697|7005|1860
19|590|1861
19|777|1862
19|1747|1863
19|2903|1864
19|6383|1865
19|9510|1866
206158430228|1747|1867
343597383701|9510|1868
206158430230|2903|1869
274877906967|590|1870
68719476760|6383|1871
137438953497|6383|1872
137438953498|9510|1873
206158430235|1747|1874
274877906972|1747|1875
206158430238|246|1876
206158430238|1985|1877
206158430238|2990|1878
206158430238|6438|1879
31|6|1880
31|587|1881
31|588|1882
31|782|1883
31|1153|1884
31|1173|1885
31|1179|1886
31|1180|1887
31|1187|1888
31|1193|1889
31|1206|1890
31|1454|1891
31|1545|1892
31|1760|1893
31|1762|1894
31|1863|1895
31|1940|1896
31|2031|1897
31|2048|1898
31|2067|1899
31|5132|1900
31|6413|1901
31|6945|1902
31|9063|1903
31|9479|1904
31|11250|1905
31|11379|1906
137438953504|1760|1907
137438953505|1179|1908
274877906978|5132|1909
206158430243|6945|1910
36|11250|1911
68719476773|1760|1912
