Comment.id|Person.id|eid_generated
137438953797|41|29411
137438953798|41|29412
343597384499|8796093022252|29413
343597384500|4398046511113|29414
343597384501|8796093022252|29415
343597384502|4398046511146|29416
343597384503|2199023255555|29417
343597384504|8796093022252|29418
343597384505|4398046511146|29419
343597384506|4398046511151|29420
343597384507|4398046511146|29421
343597384508|4398046511151|29422
343597384509|2199023255580|29423
343597384510|2199023255580|29424
343597384511|4398046511113|29425
343597384512|4398046511151|29426
343597384513|8796093022232|29427
274877907779|8796093022235|29428
274877907780|8796093022239|29429
274877907781|4398046511151|29430
274877907782|8796093022252|29431
274877907783|8796093022248|29432
274877907784|4398046511151|29433
274877907785|4398046511146|29434
274877907786|4398046511146|29435
274877907787|2199023255555|29436
274877907788|8796093022248|29437
274877907789|2199023255580|29438
274877907790|2199023255555|29439
274877907791|8796093022239|29440
274877907792|8796093022248|29441
274877907965|4398046511123|29442
274877907966|4398046511133|29443
274877907967|4398046511123|29444
274877907968|6597069766701|29445
274877907969|4398046511133|29446
343597384706|4398046511123|29447
343597384707|4398046511123|29448
274877907972|4398046511123|29449
274877907973|6597069766701|29450
343597384710|6597069766701|29451
274877907975|4398046511109|29452
343597384712|6597069766674|29453
274877907978|6597069766674|29454
274877907979|4398046511123|29455
343597384736|4398046511146|29456
343597384739|4398046511123|29457
343597384741|4398046511146|29458
343597384742|10995116277809|29459
343597384743|8796093022232|29460
343597384745|10995116277809|29461
343597384748|4398046511146|29462
343597384749|4398046511109|29463
343597384756|4398046511127|29464
343597384757|2199023255574|29465
343597384758|4398046511109|29466
343597384759|2199023255580|29467
343597384760|6|29468
343597384761|4398046511109|29469
343597384762|2199023255591|29470
343597384763|4398046511146|29471
343597384764|41|29472
343597384765|8796093022215|29473
343597384766|8796093022215|29474
